HSNS1	HSNS2	HSNS3	HSNS4	HSNS5	HSNS6	HSNS7	HSNS8	HSNS9	HSNS10	DDP1	DDP2	DDP3	DDP4	DDN1	DDN2	DDN3	DDN4	DDM1	DDM2	DDM3	DDM4	age	gender	accuracy	country
0	4	5	1	3	4	5	4	5	1	4	4	5	5	5	5	2	3	5	5	5	3	30	1	70	GB
2	4	5	5	3	4	4	4	5	4	5	5	5	5	3	3	0	2	3	5	5	5	14	1	62	IN
4	4	2	1	5	5	4	5	2	2	4	3	3	4	5	4	5	4	2	2	5	1	13	1	75	US
4	4	4	2	1	3	4	2	1	4	2	2	4	4	4	2	3	1	4	5	4	3	29	2	75	US
2	5	3	3	4	5	2	2	4	3	5	2	5	4	4	4	4	2	5	4	5	2	28	1	97	GB
4	5	4	5	5	5	5	5	5	1	1	3	2	2	5	4	5	2	2	2	3	1	17	2	82	DE
4	2	4	5	3	3	2	3	2	2	1	3	2	5	5	3	5	1	5	4	3	4	16	1	63	GB
1	4	5	3	5	5	5	4	4	4	2	4	5	5	4	4	3	3	5	4	3	4	45	2	62	US
4	1	1	1	3	2	1	2	3	1	1	2	3	3	3	2	2	0	3	5	1	2	29	1	94	US
4	4	2	5	1	5	3	4	4	3	1	1	2	5	3	4	4	4	2	4	2	2	22	1	81	US
5	4	3	4	4	4	3	3	5	2	2	5	4	4	5	4	3	2	1	4	4	1	14	1	87	US
5	4	5	2	4	5	5	4	4	3	2	1	2	4	5	4	3	3	2	5	4	2	26	1	90	US
3	2	5	2	0	3	3	4	2	2	3	1	4	4	4	4	5	1	4	5	4	2	27	1	80	US
5	5	0	4	4	5	5	4	5	5	2	2	3	4	4	4	5	4	4	5	4	5	24	1	62	GB
5	4	4	3	3	5	5	2	3	4	2	2	5	4	5	4	3	2	2	3	4	2	24	2	88	US
2	1	1	2	2	3	4	2	2	2	4	3	5	3	1	1	1	2	3	4	2	2	13	2	93	US
5	2	4	4	1	5	1	1	5	2	3	3	3	4	5	5	4	3	4	5	4	4	23	2	94	US
2	5	4	2	4	5	5	4	5	2	2	3	4	3	4	4	5	1	4	5	4	3	47	1	100	AU
5	3	4	4	4	4	3	4	4	2	1	3	3	4	5	4	3	0	3	2	4	1	22	1	74	US
4	2	5	3	4	5	4	3	4	4	5	5	5	3	5	4	5	3	5	4	5	3	33	1	97	US
4	5	3	2	5	5	4	5	4	1	5	2	4	5	2	4	2	4	3	3	4	2	41	1	93	US
5	2	2	4	5	4	1	4	3	2	1	2	3	5	5	4	3	4	3	4	3	1	17	2	94	US
5	2	4	1	2	5	0	1	5	3	3	1	4	4	4	4	4	1	4	4	4	4	15	2	96	GB
5	2	4	3	2	5	4	1	3	4	4	4	4	4	5	5	5	5	5	4	5	3	16	2	89	US
4	5	4	4	4	3	5	4	5	1	4	3	4	4	4	4	5	2	5	5	5	4	21	2	67	US
4	1	2	2	2	2	4	4	4	1	5	2	5	5	1	3	5	5	2	4	4	2	20	1	63	US
5	2	4	5	5	5	2	1	3	4	2	3	4	5	5	5	3	5	5	4	4	2	20	1	98	US
5	4	4	1	2	5	4	5	5	1	2	4	3	4	4	5	5	2	1	4	5	3	44	1	89	US
5	2	4	1	3	5	3	2	2	3	2	1	4	4	3	3	4	1	4	2	5	2	26	1	61	DE
5	4	4	1	3	4	2	1	1	1	2	3	4	3	3	4	5	3	2	4	4	1	21	1	99	US
4	3	4	1	3	3	4	1	3	1	1	1	1	3	1	2	1	1	1	5	3	1	28	1	82	US
4	4	4	2	5	5	3	5	5	5	5	4	2	5	5	4	5	3	4	5	4	4	34	2	78	GB
2	4	4	2	1	4	4	3	4	4	1	5	2	4	1	2	1	4	4	4	3	3	19	2	85	US
4	1	2	2	1	2	2	2	1	1	2	2	4	2	4	2	2	2	2	2	0	1	21	1	88	US
5	1	4	4	5	4	4	4	3	4	5	2	2	5	4	5	5	4	5	5	5	3	18	1	88	AU
5	5	5	4	5	4	2	3	5	3	5	2	4	5	4	5	5	3	5	4	4	4	53	0	87	US
5	1	2	4	3	4	2	4	2	2	4	3	2	4	2	2	2	2	1	1	2	1	31	2	97	CA
5	3	3	2	1	4	5	3	4	1	3	1	2	1	5	2	2	1	1	2	1	3	20	1	59	CA
2	2	5	5	2	5	1	4	3	5	3	1	3	4	5	3	3	2	3	4	2	3	17	1	98	US
4	4	5	3	2	4	4	3	5	2	5	2	3	4	4	5	5	4	4	5	4	2	25	1	92	US
4	1	4	1	2	4	3	3	2	2	1	2	2	2	4	2	4	4	0	1	1	1	24	2	81	US
2	3	4	3	2	4	3	2	4	2	1	1	2	5	1	1	4	1	4	2	4	2	16	2	89	US
4	5	5	0	4	5	4	2	5	2	2	2	5	5	5	4	2	5	4	4	4	3	15	1	63	US
4	1	1	2	3	2	4	2	3	2	1	3	2	3	4	3	4	2	3	4	4	3	19	2	99	US
5	2	4	4	4	4	4	5	4	3	2	2	1	4	5	4	4	2	2	3	2	2	30	2	98	US
5	4	5	1	2	5	4	4	5	2	3	1	3	4	5	4	2	5	4	5	4	4	32	1	33	PH
4	4	2	3	1	3	4	4	5	1	2	2	1	2	4	3	1	2	1	4	4	2	28	1	88	US
2	4	3	3	1	3	5	4	5	2	3	2	3	4	4	2	3	2	1	1	4	1	29	1	96	US
3	4	3	4	4	0	2	5	3	5	1	1	4	4	5	5	4	5	4	2	1	1	30	2	84	AU
5	4	4	3	1	5	3	0	4	2	2	2	1	4	4	2	2	2	3	4	2	2	19	1	80	GB
5	2	4	4	0	5	5	2	5	2	5	2	1	4	5	4	4	4	4	5	4	4	24	2	93	CA
5	5	4	2	5	5	4	4	3	4	4	4	4	5	2	4	2	1	4	5	5	4	25	3	79	US
5	1	1	3	2	3	1	4	1	4	1	1	2	1	5	0	4	1	3	5	4	2	20	2	77	US
5	3	4	2	3	4	5	3	4	2	4	1	2	5	4	3	2	4	3	4	4	3	21	0	61	US
2	5	5	4	3	5	4	3	3	3	2	5	4	5	3	2	3	4	4	3	3	4	22	1	89	CA
4	2	1	2	2	3	2	1	1	1	3	1	2	1	1	1	1	1	4	2	2	2	26	2	58	GB
4	4	5	5	4	5	4	2	5	3	2	2	3	5	4	4	2	4	2	4	4	3	29	2	94	US
5	4	5	3	3	5	2	2	4	2	4	5	4	4	4	2	2	2	5	5	4	4	15	1	88	GB
4	4	5	5	4	4	4	4	5	1	2	5	2	4	5	4	2	4	2	2	1	1	50	1	82	CA
5	5	4	4	5	5	4	5	5	2	5	3	5	5	5	5	5	4	4	4	4	4	19	1	78	US
0	3	3	2	2	4	5	4	4	1	3	3	4	2	4	4	4	4	4	3	4	4	23	2	97	AU
5	2	5	4	5	3	5	5	5	5	5	4	4	5	5	5	5	5	5	4	4	4	27	1	69	US
5	3	5	2	3	5	4	3	5	0	2	1	1	1	4	4	5	3	3	5	2	3	22	1	83	US
4	2	4	2	2	5	2	3	2	4	3	4	4	4	5	4	4	4	3	4	2	4	20	2	66	US
5	1	4	2	3	4	1	2	3	1	1	1	1	1	2	0	2	4	1	4	2	1	18	1	99	US
2	5	5	3	3	5	5	3	4	1	5	3	5	4	3	4	5	1	3	0	4	3	16	1	83	CA
4	1	2	2	2	5	2	2	2	3	2	2	3	2	3	3	4	2	4	5	2	4	41	2	77	US
2	2	3	4	3	4	3	5	4	5	1	1	1	2	0	3	4	1	2	3	4	2	19	2	94	GB
4	1	4	2	2	5	2	4	4	2	2	4	1	2	4	5	4	4	2	5	4	4	30	1	97	US
5	5	5	3	4	4	4	3	4	3	4	5	3	5	5	5	4	4	5	5	4	3	17	1	84	US
2	4	3	5	4	4	4	3	4	3	5	4	4	4	4	1	3	2	3	5	4	4	28	1	74	US
4	5	4	5	2	5	5	3	4	1	2	2	4	2	5	5	5	4	4	4	2	2	26	1	79	US
2	2	4	5	2	5	2	2	4	0	3	2	4	4	4	2	4	4	1	4	1	4	13	1	72	US
4	3	4	1	2	5	3	1	4	1	4	3	4	4	4	3	2	0	1	4	4	1	28	1	65	US
2	4	4	1	2	4	4	1	3	1	5	3	5	0	5	4	2	2	1	4	1	4	35	1	88	US
5	2	4	5	0	3	4	4	4	2	2	1	2	5	5	4	5	4	2	5	5	1	17	2	87	PH
5	5	5	2	5	3	4	1	5	1	3	2	2	4	4	4	1	1	4	4	5	4	28	2	85	GB
