model,category,mean_importance,median_importance,count
LogReg,Complexity Metrics,0.24113598186835153,0.1647126963381529,21
LogReg,Count Metrics,0.17970818296199634,0.13003881769166978,196
LogReg,Distribution Metrics,0.14523540142441696,0.16224846771436774,7
LogReg,Error Metrics,0.1484039393593626,0.05881962527332855,98
LogReg,Other Metrics,0.20637958664768266,0.1049852766344189,56
LogReg,Rate/Ratio Metrics,0.2636373635557604,0.19139358346505295,119
LogReg,Statistical Metrics,0.219916272056097,0.20236720226166988,14
LogReg,Step Metrics,0.10375714660559686,0.0,161
LogReg,Token Metrics,0.2659035569923701,0.25543306669386845,21
LogReg,Tool Usage,0.2114054062892387,0.13166496767356203,147
RF,Complexity Metrics,0.2656349110537525,0.16600578279683237,21
RF,Count Metrics,0.09383902796815052,0.034280132250290266,196
RF,Distribution Metrics,0.20069525401239763,0.14701998773417124,7
RF,Error Metrics,0.03683207652494583,0.01238329933047763,98
RF,Other Metrics,0.17103834710291185,0.02791314191251098,56
RF,Rate/Ratio Metrics,0.14346919249466164,0.08514334730394149,119
RF,Statistical Metrics,0.20463701964147554,0.1526301381332079,14
RF,Step Metrics,0.05414141358642961,0.0,161
RF,Token Metrics,0.3034278069178708,0.18831199240214047,21
RF,Tool Usage,0.17089442177675176,0.09529434910970838,147
XGB,Complexity Metrics,0.10767066868887985,0.029907208729262266,21
XGB,Count Metrics,0.049075032285806446,0.0,196
XGB,Distribution Metrics,0.2833892894086549,0.17451068330487965,7
XGB,Error Metrics,0.026837253338409934,0.0,98
XGB,Other Metrics,0.10260965016600085,0.0,56
XGB,Rate/Ratio Metrics,0.07840935162648759,0.027734593447673418,119
XGB,Statistical Metrics,0.11772645281033754,0.05540890760962511,14
XGB,Step Metrics,0.015454857122925075,0.0,161
XGB,Token Metrics,0.0835105212646338,0.04506085907149817,21
XGB,Tool Usage,0.07233685624466905,0.02511658517285273,147
