respondent_id	Q01	Q02	Q03	Q04	Q05	Q06	Q07	Q08	Q09	Q10	Q11	Q12
dataset_06_00000	4	3	4	5	4	5	5	3	4	2	3	2
dataset_06_00001	5	3	5	4	5	4	4	4	5	2	3	3
dataset_06_00002	5	5	4	2	4	5	4	4	4	2	5	3
dataset_06_00003	5	5	3	4	4	2	2	3	4	2	1	2
dataset_06_00004	4	5	5	3	3	5	5	4	5	5	3	3
dataset_06_00005	2	1	2	2	2	3	3	4	3	1	3	3
dataset_06_00006	5	4	2	3	4	4	3	5	3	2	3	2
dataset_06_00007	5	5	4	5	4	5	4	5	5	3	4	4
dataset_06_00008	4	1	4	2	2	3	2	3	5	1	2	1
dataset_06_00009	5	2	3	3	5	5	5	4	3	3	5	3
dataset_06_00010	5	2	3	2	4	4	4	3	3	2	1	2
dataset_06_00011	3	2	2	4	3	4	3	4	2	2	2	1
dataset_06_00012	1	2	1	2	2	4	4	2	2	1	1	1
dataset_06_00013	2	1	3	2	1	4	2	2	4	2	1	3
dataset_06_00014	5	3	3	3	5	5	4	5	4	3	4	2
dataset_06_00015	5	1	4	2	4	3	4	4	4	3	1	1
dataset_06_00016	5	2	2	3	5	5	3	5	4	2	4	2
dataset_06_00017	5	5	5	2	4	5	3	2	4	5	5	3
dataset_06_00018	2	1	2	2	3	5	2	2	1	2	1	1
dataset_06_00019	4	4	2	4	3	4	2	2	3	2	1	1
dataset_06_00020	5	5	4	3	4	3	4	5	2	4	1	3
dataset_06_00021	1	4	2	3	4	4	4	3	3	2	1	3
dataset_06_00022	4	2	4	3	4	4	2	1	4	1	3	1
dataset_06_00023	5	2	5	4	5	5	5	5	5	2	3	3
dataset_06_00024	2	3	1	2	3	2	2	4	4	2	1	3
dataset_06_00025	2	2	2	2	1	3	2	3	3	3	3	2
dataset_06_00026	5	5	3	5	3	5	4	5	3	3	3	5
dataset_06_00027	2	2	1	2	2	5	4	2	1	1	3	2
dataset_06_00028	5	3	3	5	5	5	4	3	5	3	5	4
dataset_06_00029	5	4	4	3	3	4	5	5	5	2	4	5
dataset_06_00030	5	4	5	4	4	5	3	5	5	5	5	4
dataset_06_00031	5	5	5	5	4	5	5	4	5	3	4	3
dataset_06_00032	5	4	5	2	2	5	4	4	4	4	1	4
dataset_06_00033	5	5	5	4	5	5	5	5	5	5	2	5
dataset_06_00034	4	2	4	3	4	4	3	2	4	1	3	1
dataset_06_00035	5	3	3	5	4	5	4	3	5	2	5	3
dataset_06_00036	3	2	4	2	4	4	4	3	4	3	1	1
dataset_06_00037	4	5	5	2	4	5	4	5	5	5	5	5
dataset_06_00038	5	1	3	2	3	4	2	3	4	2	1	1
dataset_06_00039	2	1	2	1	1	4	2	2	2	2	1	1
dataset_06_00040	4	2	2	1	3	4	5	3	4	2	2	2
dataset_06_00041	5	5	4	4	4	4	5	4	4	3	4	2
dataset_06_00042	5	4	5	2	3	4	2	2	4	3	3	2
dataset_06_00043	4	4	2	2	2	4	4	3	3	2	5	2
dataset_06_00044	4	4	3	2	2	5	2	2	5	2	2	2
dataset_06_00045	5	5	4	2	4	5	5	4	5	4	4	3
dataset_06_00046	3	5	5	3	5	5	3	5	5	3	4	5
dataset_06_00047	4	3	5	2	2	4	5	4	4	4	2	4
dataset_06_00048	5	2	5	2	5	4	3	3	5	2	2	5
dataset_06_00049	4	1	5	4	2	4	4	4	4	5	5	2
dataset_06_00050	3	2	4	4	2	4	3	2	5	3	5	2
dataset_06_00051	3	5	5	5	5	5	4	4	4	2	5	4
dataset_06_00052	4	2	3	1	3	2	2	2	4	1	1	2
dataset_06_00053	3	3	2	3	5	3	2	4	3	2	1	1
dataset_06_00054	5	2	4	2	4	5	2	2	4	2	3	2
dataset_06_00055	4	5	5	3	4	5	4	4	4	2	2	4
dataset_06_00056	5	4	5	5	4	5	4	4	4	4	4	4
dataset_06_00057	4	3	3	2	5	3	3	3	4	3	2	2
dataset_06_00058	2	3	3	1	1	5	2	1	2	2	1	1
dataset_06_00059	2	4	4	3	4	4	3	4	5	2	1	1
dataset_06_00060	4	2	3	2	4	3	2	4	3	3	4	3
dataset_06_00061	5	5	4	4	5	5	4	5	5	4	5	5
dataset_06_00062	5	3	5	2	3	4	4	2	4	3	4	4
dataset_06_00063	5	5	5	4	4	5	5	5	5	5	4	5
dataset_06_00064	2	1	3	1	2	1	3	3	1	1	1	1
dataset_06_00065	5	3	3	4	5	4	3	3	4	3	2	1
dataset_06_00066	2	2	3	3	4	5	4	3	4	2	2	2
dataset_06_00067	2	1	2	3	3	4	3	1	2	3	2	1
dataset_06_00068	4	1	5	1	2	5	3	2	4	2	2	1
dataset_06_00069	4	4	4	2	3	4	4	4	5	4	5	3
dataset_06_00070	3	2	2	2	4	5	5	2	2	2	3	2
dataset_06_00071	3	3	2	4	3	3	2	4	2	3	5	5
dataset_06_00072	4	3	2	4	5	5	5	3	4	2	5	3
