respondent_id	Q01	Q02	Q03	Q04	Q05	Q06	Q07	Q08	Q09	Q10	Q11	Q12
dataset_05_00000	4	4	4	3	2	4	2	1	3	2	2	2
dataset_05_00001	4	2	4	3	4	5	2	5	2	1	1	1
dataset_05_00002	2	1	3	3	1	2	4	3	3	2	2	4
dataset_05_00003	5	3	5	4	3	4	4	2	5	2	5	5
dataset_05_00004	4	3	1	2	5	4	1	4	2	1	1	1
dataset_05_00005	4	4	4	3	4	5	1	4	2	1	1	1
dataset_05_00006	1	1	1	1	2	2	1	2	1	2	1	1
dataset_05_00007	3	2	3	2	2	4	2	2	4	1	1	2
dataset_05_00008	3	3	4	4	5	4	5	2	4	4	5	5
dataset_05_00009	2	3	2	2	2	4	4	3	5	2	2	1
dataset_05_00010	2	2	3	1	2	2	5	3	5	4	2	2
dataset_05_00011	5	2	4	2	4	4	3	3	4	1	1	1
dataset_05_00012	5	5	4	5	5	5	4	5	4	3	4	1
dataset_05_00013	4	4	3	3	4	4	2	1	2	2	1	2
dataset_05_00014	5	4	5	4	4	5	4	2	4	3	2	5
dataset_05_00015	4	5	1	4	3	5	1	3	3	1	1	1
dataset_05_00016	5	4	4	3	3	4	4	3	5	5	2	4
dataset_05_00017	4	3	2	1	2	4	1	1	3	1	1	1
dataset_05_00018	2	2	3	1	1	3	2	1	2	2	2	3
dataset_05_00019	2	2	3	2	2	3	5	2	5	4	5	2
dataset_05_00020	4	2	1	2	2	3	5	2	5	3	4	2
dataset_05_00021	4	5	5	2	2	5	2	4	4	1	4	2
dataset_05_00022	4	3	4	4	3	5	4	5	5	3	3	3
dataset_05_00023	2	1	1	1	1	4	3	4	4	5	2	4
dataset_05_00024	4	4	3	5	2	4	4	4	4	2	3	2
dataset_05_00025	3	5	5	2	4	4	4	2	5	3	4	3
dataset_05_00026	5	4	4	4	5	4	4	4	5	2	4	4
dataset_05_00027	5	3	4	4	5	3	5	3	5	4	5	3
dataset_05_00028	5	4	5	4	4	5	4	2	5	4	2	4
dataset_05_00029	4	1	4	5	4	5	3	4	5	1	1	3
dataset_05_00030	5	3	2	2	3	5	5	3	4	1	1	3
dataset_05_00031	5	4	5	5	4	5	5	5	4	3	3	3
dataset_05_00032	5	4	5	5	5	5	4	2	4	2	4	1
dataset_05_00033	4	5	2	2	2	5	1	5	1	2	4	2
dataset_05_00034	4	3	2	3	2	4	2	5	3	2	1	4
dataset_05_00035	3	2	3	1	2	4	4	4	5	2	2	1
dataset_05_00036	5	3	3	1	4	5	3	1	5	2	2	3
dataset_05_00037	5	3	4	5	5	5	4	4	5	5	5	4
dataset_05_00038	4	4	3	1	4	4	4	5	5	4	5	5
dataset_05_00039	4	4	5	2	1	4	2	3	2	2	1	2
dataset_05_00040	2	2	2	2	4	5	4	5	4	2	2	4
dataset_05_00041	3	2	3	2	3	4	4	3	1	2	2	2
dataset_05_00042	4	4	2	1	1	3	4	4	3	2	4	3
dataset_05_00043	2	2	1	1	2	2	5	5	5	3	4	3
dataset_05_00044	3	4	5	4	4	5	4	5	4	4	2	2
dataset_05_00045	5	4	4	3	2	5	4	2	5	5	2	4
dataset_05_00046	5	5	4	5	4	5	1	1	2	1	2	3
dataset_05_00047	5	4	5	5	5	5	4	5	5	4	3	4
dataset_05_00048	2	1	2	3	3	4	3	4	3	4	2	5
dataset_05_00049	3	2	1	2	2	2	3	3	1	2	1	2
dataset_05_00050	4	1	5	2	2	5	3	2	4	4	4	3
dataset_05_00051	4	5	4	3	2	4	2	3	3	2	2	2
dataset_05_00052	2	1	3	2	2	2	5	5	2	2	2	3
dataset_05_00053	5	1	4	3	3	4	2	4	4	1	4	5
dataset_05_00054	3	4	4	4	4	4	5	4	3	2	2	2
dataset_05_00055	4	3	2	2	4	4	3	4	4	4	2	5
dataset_05_00056	5	4	4	3	4	4	5	5	5	5	4	4
dataset_05_00057	4	4	5	5	5	4	3	4	2	1	1	1
dataset_05_00058	5	2	3	4	4	5	4	5	3	2	3	3
dataset_05_00059	1	2	1	2	1	1	2	1	4	3	3	1
dataset_05_00060	5	4	5	4	5	5	2	2	2	2	1	1
dataset_05_00061	3	1	4	2	2	3	5	3	2	4	2	3
dataset_05_00062	3	2	4	2	3	2	4	5	1	4	4	2
dataset_05_00063	5	5	4	5	5	5	4	5	5	4	3	2
dataset_05_00064	2	1	1	1	2	1	2	1	3	2	2	2
dataset_05_00065	4	4	4	2	5	5	1	2	3	2	3	5
dataset_05_00066	5	5	5	5	5	5	4	2	1	2	2	3
dataset_05_00067	4	4	2	2	1	4	4	1	3	1	4	3
dataset_05_00068	4	4	2	2	2	2	3	3	4	2	1	1
dataset_05_00069	5	4	5	3	4	4	4	4	3	2	5	4
dataset_05_00070	5	4	5	3	4	5	3	3	3	1	2	3
dataset_05_00071	5	2	5	5	4	5	4	5	3	1	1	2
dataset_05_00072	2	1	2	1	2	3	4	1	2	2	3	4
dataset_05_00073	4	5	4	4	5	5	5	2	5	3	5	3
dataset_05_00074	4	5	2	1	4	5	4	3	4	3	5	2
dataset_05_00075	1	1	3	2	2	4	5	4	5	4	4	3
dataset_05_00076	4	3	2	4	2	4	2	1	3	1	1	1
dataset_05_00077	2	2	1	3	1	1	3	5	5	1	4	1
dataset_05_00078	3	1	2	2	2	4	3	5	2	1	1	1
dataset_05_00079	4	4	4	3	2	4	4	2	3	1	1	2
dataset_05_00080	1	2	2	3	2	2	4	4	5	1	2	2
dataset_05_00081	3	2	2	2	4	4	3	3	4	1	2	5
dataset_05_00082	4	3	2	4	4	4	4	2	3	4	5	3
dataset_05_00083	5	5	5	4	5	5	4	3	5	5	4	5
dataset_05_00084	5	3	5	4	5	5	5	5	4	5	5	5
dataset_05_00085	2	4	3	1	4	4	5	2	4	4	2	3
dataset_05_00086	3	2	1	2	3	3	2	2	2	1	1	1
dataset_05_00087	4	2	2	3	4	4	3	1	2	4	2	3
dataset_05_00088	2	1	4	2	1	3	3	4	2	1	2	2
dataset_05_00089	4	1	4	3	4	4	4	5	4	3	4	5
dataset_05_00090	5	1	4	2	4	5	5	3	5	5	5	4
dataset_05_00091	4	2	4	4	3	4	3	2	3	2	2	2
dataset_05_00092	3	4	2	3	1	4	1	2	1	1	1	1
dataset_05_00093	3	1	1	4	1	2	1	3	2	2	1	1
dataset_05_00094	4	1	2	2	3	2	3	4	2	2	2	1
dataset_05_00095	4	1	4	1	4	4	3	5	5	4	2	5
dataset_05_00096	4	5	5	2	5	5	4	2	5	5	5	2
dataset_05_00097	4	1	4	3	1	4	5	2	4	4	2	3
dataset_05_00098	2	3	2	2	2	4	5	5	4	1	4	2
dataset_05_00099	3	4	4	2	2	3	4	4	4	4	2	2
dataset_05_00100	3	2	5	3	1	4	5	5	5	5	2	5
dataset_05_00101	5	5	5	4	5	5	4	2	2	2	3	4
dataset_05_00102	5	5	4	4	5	4	3	3	3	2	4	1
dataset_05_00103	4	5	4	4	4	4	4	3	5	3	1	3
dataset_05_00104	5	4	4	5	5	5	4	3	4	2	3	5
dataset_05_00105	5	5	5	5	4	5	4	5	5	2	4	4
dataset_05_00106	3	3	3	4	2	4	3	2	5	1	2	2
dataset_05_00107	4	1	2	4	2	4	5	4	2	3	4	4
dataset_05_00108	4	1	4	2	2	4	5	2	4	4	4	5
dataset_05_00109	5	5	4	2	4	4	5	5	4	3	3	5
dataset_05_00110	2	2	2	3	2	3	4	2	3	2	1	1
dataset_05_00111	5	5	5	3	5	5	5	4	5	5	5	5
dataset_05_00112	5	4	3	4	5	4	3	5	4	2	1	2
dataset_05_00113	2	1	2	2	1	2	2	4	1	1	1	1
dataset_05_00114	4	2	2	2	2	4	1	3	2	2	1	2
dataset_05_00115	3	3	2	2	3	3	2	4	3	1	2	2
dataset_05_00116	4	1	2	3	4	5	3	4	5	2	2	2
dataset_05_00117	5	4	3	3	4	3	2	4	1	1	2	1
dataset_05_00118	4	4	4	1	4	5	5	4	5	4	5	4
dataset_05_00119	5	4	5	2	2	2	3	2	3	4	1	3
dataset_05_00120	5	1	4	2	4	4	5	1	4	2	5	2
dataset_05_00121	5	4	4	5	5	5	4	2	1	2	1	2
dataset_05_00122	4	2	3	2	3	4	2	4	4	1	2	3
dataset_05_00123	5	4	4	3	3	4	4	2	4	4	5	5
