respondent_id	Q01	Q02	Q03	Q04	Q05	Q06	Q07	Q08	Q09	Q10	Q11	Q12
dataset_02_00000	5	4	3	3	2	5	2	2	2	1	2	1
dataset_02_00001	4	5	5	2	3	5	4	2	4	2	4	4
dataset_02_00002	4	2	2	1	2	2	2	4	5	3	2	4
dataset_02_00003	2	2	2	5	5	5	5	3	4	1	2	2
dataset_02_00004	3	2	2	2	2	3	2	4	5	2	1	2
dataset_02_00005	4	4	4	1	3	2	1	3	4	1	3	2
dataset_02_00006	2	1	2	2	2	4	2	4	4	2	4	5
dataset_02_00007	5	4	5	2	2	1	3	3	5	4	3	4
dataset_02_00008	5	5	5	4	4	4	4	2	3	2	1	1
dataset_02_00009	2	3	4	2	4	3	4	5	5	2	3	3
dataset_02_00010	2	1	1	3	5	4	4	2	5	3	2	2
dataset_02_00011	4	4	4	5	5	5	4	5	5	4	4	3
dataset_02_00012	3	1	4	2	2	3	3	5	4	5	5	5
dataset_02_00013	5	4	4	1	2	4	1	1	3	2	2	1
dataset_02_00014	4	4	5	4	4	5	3	4	5	2	4	4
dataset_02_00015	4	2	3	2	3	4	4	2	5	1	1	1
dataset_02_00016	5	5	5	4	5	5	4	5	4	2	3	2
dataset_02_00017	5	4	5	1	2	3	1	2	4	2	1	3
dataset_02_00018	4	4	4	2	2	4	4	4	4	1	2	2
dataset_02_00019	4	3	4	3	4	5	4	2	1	2	4	1
dataset_02_00020	5	4	4	4	4	5	4	4	4	2	5	5
dataset_02_00021	4	3	2	4	2	4	4	5	5	4	4	2
dataset_02_00022	2	1	1	2	2	4	2	1	1	1	2	1
dataset_02_00023	4	1	2	2	4	5	5	3	5	2	4	2
dataset_02_00024	4	3	5	2	2	4	2	1	4	3	1	2
dataset_02_00025	5	3	3	2	1	4	3	2	4	1	3	1
dataset_02_00026	4	2	2	1	2	2	1	2	2	4	2	3
dataset_02_00027	3	4	3	1	2	3	2	5	5	3	4	4
dataset_02_00028	5	4	4	4	4	5	4	4	4	4	4	1
dataset_02_00029	4	2	4	2	5	4	3	3	4	2	3	2
dataset_02_00030	5	4	5	4	5	5	4	4	4	2	1	4
dataset_02_00031	5	1	2	2	4	4	4	2	2	1	2	1
dataset_02_00032	4	1	2	2	4	4	4	4	5	4	4	5
dataset_02_00033	4	4	5	1	2	4	2	1	2	4	2	2
dataset_02_00034	2	1	2	4	2	5	4	4	3	2	2	2
dataset_02_00035	4	4	4	5	5	5	5	5	5	5	4	5
dataset_02_00036	4	4	5	1	4	4	2	3	4	1	1	1
dataset_02_00037	2	1	1	1	2	3	2	4	3	4	2	4
dataset_02_00038	5	4	4	3	5	4	4	3	2	1	2	4
dataset_02_00039	3	3	2	1	4	4	4	2	4	2	2	2
dataset_02_00040	2	2	3	4	5	5	5	3	4	2	5	3
dataset_02_00041	4	3	4	3	2	4	4	3	2	1	1	1
dataset_02_00042	3	2	2	2	4	5	3	4	5	2	4	4
dataset_02_00043	2	4	2	4	3	3	3	3	4	2	4	1
dataset_02_00044	4	2	1	1	5	5	4	4	4	1	1	2
dataset_02_00045	2	2	2	1	2	2	2	3	3	4	4	4
dataset_02_00046	5	4	5	4	5	4	4	2	3	2	1	2
dataset_02_00047	5	2	3	2	4	4	3	1	1	3	1	1
dataset_02_00048	5	2	2	2	2	3	3	2	2	1	1	1
dataset_02_00049	5	2	3	4	3	3	1	2	5	4	3	4
dataset_02_00050	5	5	5	4	4	5	4	4	2	2	3	3
dataset_02_00051	4	4	4	4	4	4	5	5	4	2	1	2
dataset_02_00052	4	3	4	2	1	2	3	1	4	1	4	1
dataset_02_00053	5	1	2	2	5	2	4	1	5	2	1	1
dataset_02_00054	2	4	3	3	4	5	4	5	4	2	3	2
dataset_02_00055	1	1	2	2	3	4	3	2	2	1	2	2
dataset_02_00056	4	4	2	2	4	5	5	2	4	2	5	4
dataset_02_00057	5	1	2	4	5	5	5	5	5	5	5	5
dataset_02_00058	3	2	2	2	4	5	3	2	2	1	1	1
