respondent_id	Q01	Q02	Q03	Q04	Q05	Q06	Q07	Q08	Q09	Q10	Q11	Q12
dataset_04_00000	4	4	5	4	4	5	5	4	5	2	3	5
dataset_04_00001	5	4	4	3	2	5	3	4	5	4	1	4
dataset_04_00002	4	5	5	5	5	5	5	5	5	3	5	4
dataset_04_00003	4	4	2	5	5	5	4	1	2	2	4	2
dataset_04_00004	5	2	2	2	1	4	3	4	4	2	2	2
dataset_04_00005	4	4	3	2	3	3	5	3	4	2	5	4
dataset_04_00006	5	2	4	4	4	4	4	5	5	4	2	4
dataset_04_00007	4	4	4	3	4	4	4	4	5	5	4	4
dataset_04_00008	2	2	2	2	1	2	1	1	1	1	1	1
dataset_04_00009	5	4	4	4	4	5	5	2	4	2	4	1
dataset_04_00010	4	1	1	1	2	2	2	4	2	2	2	4
dataset_04_00011	2	3	2	2	3	3	3	2	4	2	2	2
dataset_04_00012	3	2	2	2	2	3	4	4	4	2	1	1
dataset_04_00013	5	2	4	3	2	3	4	3	4	2	2	4
dataset_04_00014	4	2	3	2	3	2	4	3	3	2	2	2
dataset_04_00015	4	5	4	3	2	5	5	3	3	2	1	2
dataset_04_00016	3	2	3	1	2	5	4	1	2	2	2	2
dataset_04_00017	5	4	5	4	5	5	5	5	3	4	5	3
dataset_04_00018	4	2	5	1	3	4	5	2	4	4	2	3
dataset_04_00019	4	4	5	3	5	5	2	2	4	3	4	3
dataset_04_00020	5	5	3	4	3	5	5	5	5	2	2	3
dataset_04_00021	4	4	3	4	2	4	4	5	2	2	2	3
dataset_04_00022	4	2	3	4	2	3	2	4	5	5	4	4
dataset_04_00023	4	2	1	2	2	3	3	2	2	2	3	2
dataset_04_00024	5	5	5	4	4	5	5	5	5	5	4	5
dataset_04_00025	5	2	4	3	2	4	4	5	2	4	1	2
dataset_04_00026	2	1	1	3	1	2	2	1	1	2	1	1
dataset_04_00027	4	5	5	4	5	5	4	5	4	5	4	2
dataset_04_00028	4	1	5	5	3	5	5	2	4	4	4	1
dataset_04_00029	5	4	3	4	2	5	5	4	5	4	4	4
dataset_04_00030	5	4	2	4	4	5	5	4	4	3	5	2
dataset_04_00031	4	4	3	2	4	3	4	4	2	1	1	2
dataset_04_00032	4	1	2	1	1	3	4	3	4	1	1	1
dataset_04_00033	3	2	2	2	2	2	1	2	4	1	1	1
dataset_04_00034	2	1	1	2	1	3	2	2	1	1	1	1
dataset_04_00035	5	2	5	1	4	5	4	2	4	3	4	3
dataset_04_00036	5	5	5	4	5	5	5	5	5	5	5	3
dataset_04_00037	5	4	4	3	5	5	4	5	5	3	4	4
dataset_04_00038	4	5	5	4	4	5	5	4	5	5	1	3
dataset_04_00039	5	4	5	4	4	4	3	4	5	5	3	5
dataset_04_00040	1	2	2	1	4	4	1	2	3	1	2	1
dataset_04_00041	4	4	2	5	5	5	5	4	1	2	2	5
dataset_04_00042	5	5	4	5	5	5	5	4	5	5	4	5
dataset_04_00043	3	5	2	2	5	2	2	2	2	1	1	3
dataset_04_00044	4	4	3	3	5	4	4	5	4	2	3	2
dataset_04_00045	5	4	3	4	4	4	5	4	2	5	2	5
dataset_04_00046	5	4	5	4	5	4	4	4	5	3	4	5
dataset_04_00047	4	2	4	2	2	4	3	2	3	1	2	2
dataset_04_00048	4	3	2	2	1	4	1	4	4	2	1	2
dataset_04_00049	3	1	4	1	3	4	4	2	3	1	3	2
dataset_04_00050	5	4	5	2	2	4	5	5	3	2	3	2
dataset_04_00051	4	4	3	5	5	5	5	5	5	5	3	4
dataset_04_00052	4	3	1	2	2	4	3	3	1	2	5	1
dataset_04_00053	4	3	3	4	3	4	5	3	3	2	1	1
dataset_04_00054	5	4	5	5	3	4	5	5	5	1	5	5
dataset_04_00055	5	4	4	2	3	4	4	3	1	1	3	1
dataset_04_00056	4	5	4	2	4	5	5	4	5	4	4	5
dataset_04_00057	4	4	5	5	5	5	5	4	5	5	4	4
dataset_04_00058	4	4	5	5	4	5	5	4	5	4	5	4
dataset_04_00059	2	1	2	4	4	4	2	5	2	3	2	1
