respondent_id	Q01	Q02	Q03	Q04	Q05	Q06	Q07	Q08	Q09	Q10	Q11	Q12
dataset_01_00000	2	1	4	2	1	4	4	1	4	3	4	0
dataset_01_00001	5	4	4	3	4	5	4	2	4	4	2	3
dataset_01_00002	4	2	4	2	4	4	3	2	3	1	2	3
dataset_01_00003	3	2	4	1	2	4	2	1	3	1	1	2
dataset_01_00004	5	3	2	2	3	4	4	5	4	4	5	4
dataset_01_00005	2	2	1	2	4	4	5	1	5	2	2	4
dataset_01_00006	2	5	2	3	4	5	4	3	3	1	4	5
dataset_01_00007	0	1	3	1	2	2	5	5	3	2	5	5
dataset_01_00008	5	5	5	5	4	5	4	4	4	4	2	3
dataset_01_00009	5	4	3	1	3	5	4	1	4	3	2	3
dataset_01_00010	0	2	2	3	2	2	1	2	2	2	4	3
dataset_01_00011	5	2	4	4	4	5	4	4	4	2	2	2
dataset_01_00012	3	2	3	1	0	1	2	1	1	2	2	2
dataset_01_00013	5	4	5	3	2	5	4	4	4	2	3	2
dataset_01_00014	4	4	4	3	4	4	4	4	5	3	2	2
dataset_01_00015	4	3	2	2	4	4	4	4	5	4	5	2
dataset_01_00016	3	1	0	3	2	4	1	1	1	1	1	1
dataset_01_00017	4	4	4	4	4	5	5	5	5	3	5	5
dataset_01_00018	5	2	3	4	4	4	4	4	4	5	5	3
dataset_01_00019	3	3	1	2	1	4	3	4	4	4	3	2
dataset_01_00020	2	1	4	2	3	5	5	4	5	4	3	4
dataset_01_00021	4	0	4	1	2	3	2	1	5	2	1	1
dataset_01_00022	4	2	5	4	5	4	4	1	5	4	4	3
dataset_01_00023	4	3	2	3	2	3	2	1	3	1	2	1
dataset_01_00024	4	1	1	2	3	5	5	4	4	3	3	5
dataset_01_00025	5	5	4	2	4	5	4	5	5	5	3	2
dataset_01_00026	4	1	4	3	3	4	3	5	5	1	3	2
dataset_01_00027	2	3	4	1	3	2	2	1	3	1	1	2
dataset_01_00028	4	1	2	4	4	4	2	2	5	4	2	3
dataset_01_00029	4	5	5	4	3	4	4	4	4	3	3	4
dataset_01_00030	3	5	1	2	3	5	3	5	5	3	4	4
dataset_01_00031	4	4	4	4	2	4	4	4	4	5	4	5
dataset_01_00032	4	4	4	3	3	4	3	1	2	3	2	1
dataset_01_00033	3	0	3	2	4	5	5	2	4	2	2	1
dataset_01_00034	4	3	2	1	2	3	2	3	2	1	1	1
dataset_01_00035	3	1	2	2	2	4	3	3	4	2	1	4
dataset_01_00036	4	3	2	2	3	4	4	4	4	2	0	2
dataset_01_00037	4	2	2	2	1	3	2	1	3	1	2	1
dataset_01_00038	4	1	4	5	2	4	4	2	2	2	2	2
dataset_01_00039	2	4	5	4	3	4	2	2	3	2	2	2
dataset_01_00040	3	2	1	1	2	3	4	5	5	5	5	2
dataset_01_00041	3	4	1	1	4	3	3	2	2	2	1	1
dataset_01_00042	2	2	4	1	5	3	2	5	2	1	4	1
dataset_01_00043	5	2	3	3	4	4	4	5	5	2	5	3
dataset_01_00044	4	2	4	2	2	5	5	5	5	5	5	4
dataset_01_00045	2	2	1	2	2	4	4	0	5	4	3	4
dataset_01_00046	4	5	5	3	4	4	4	2	3	1	2	3
dataset_01_00047	1	1	3	1	1	1	1	2	3	1	2	1
dataset_01_00048	4	4	1	2	2	4	3	1	2	2	2	1
dataset_01_00049	3	4	4	3	2	4	3	2	4	2	3	2
dataset_01_00050	5	5	0	5	5	5	5	2	5	2	3	3
dataset_01_00051	4	4	1	2	4	4	2	2	1	2	3	1
dataset_01_00052	5	4	1	2	2	4	2	2	3	1	2	2
dataset_01_00053	5	5	5	5	4	5	5	4	4	4	5	3
dataset_01_00054	2	3	0	3	4	4	4	2	4	2	2	1
dataset_01_00055	3	1	2	2	3	4	4	4	4	5	4	3
dataset_01_00056	5	4	4	3	4	5	4	4	4	5	5	5
dataset_01_00057	5	1	4	2	4	5	4	5	5	5	1	3
dataset_01_00058	4	3	2	4	2	4	4	4	5	1	4	2
dataset_01_00059	4	4	2	3	2	5	4	4	3	4	5	3
dataset_01_00060	4	4	2	3	4	4	1	2	4	1	1	1
dataset_01_00061	5	4	4	5	4	4	5	4	4	4	1	5
dataset_01_00062	4	3	4	4	3	5	1	1	4	1	4	3
dataset_01_00063	4	3	2	3	4	4	4	2	2	1	1	1
dataset_01_00064	3	1	5	0	3	4	4	3	1	1	3	2
dataset_01_00065	2	1	3	1	1	3	3	4	4	1	2	1
dataset_01_00066	4	1	1	2	4	4	4	4	5	2	2	1
dataset_01_00067	4	4	5	3	4	5	4	4	4	2	5	2
dataset_01_00068	4	2	1	2	2	3	0	3	4	5	2	2
dataset_01_00069	4	3	3	2	2	4	4	3	5	2	4	4
dataset_01_00070	1	2	2	1	3	2	1	2	3	1	1	1
dataset_01_00071	3	4	4	4	4	4	2	2	2	1	4	2
dataset_01_00072	4	5	5	2	4	4	2	2	3	1	1	2
dataset_01_00073	4	3	4	3	4	5	4	5	4	3	4	2
dataset_01_00074	5	2	4	3	2	4	3	4	4	3	1	1
dataset_01_00075	3	2	3	3	4	5	3	2	3	0	3	3
dataset_01_00076	5	4	4	4	4	4	4	2	2	3	3	2
dataset_01_00077	4	4	5	4	4	5	4	5	5	4	3	4
dataset_01_00078	2	5	3	1	1	4	4	5	5	4	4	5
dataset_01_00079	2	3	2	2	2	4	4	2	5	2	2	2
dataset_01_00080	5	4	4	4	5	5	4	3	2	4	1	4
dataset_01_00081	4	2	1	2	2	3	3	4	4	2	4	2
dataset_01_00082	1	3	1	2	1	3	4	4	4	4	5	3
dataset_01_00083	5	4	5	4	4	0	4	2	5	1	5	3
dataset_01_00084	5	5	5	4	5	5	5	4	5	5	4	3
dataset_01_00085	3	2	2	2	1	3	4	2	5	1	4	4
dataset_01_00086	0	4	5	2	4	5	4	3	3	4	4	1
dataset_01_00087	4	5	5	5	5	5	5	5	5	5	5	5
dataset_01_00088	2	4	5	3	2	4	4	4	5	4	2	1
dataset_01_00089	5	4	4	2	4	4	1	3	4	1	1	1
dataset_01_00090	0	1	2	1	1	2	2	2	1	1	1	2
dataset_01_00091	5	2	5	2	4	4	4	4	4	2	1	3
dataset_01_00092	5	4	4	5	4	5	4	5	4	4	4	3
dataset_01_00093	3	1	1	1	2	3	4	2	3	4	1	1
dataset_01_00094	5	4	5	2	4	5	3	5	4	2	4	2
dataset_01_00095	5	4	4	2	4	5	4	3	4	3	3	3
dataset_01_00096	3	1	2	2	2	3	1	1	2	1	1	1
dataset_01_00097	5	4	4	2	2	2	2	2	4	2	2	1
dataset_01_00098	2	2	1	1	2	4	3	3	4	1	2	2
dataset_01_00099	3	2	4	2	1	4	3	3	4	4	5	4
dataset_01_00100	0	4	3	2	2	3	3	2	4	4	1	4
dataset_01_00101	5	4	4	4	4	5	5	5	5	5	4	5
dataset_01_00102	2	2	4	2	2	4	4	2	4	2	4	2
dataset_01_00103	5	4	3	4	4	5	5	4	5	5	5	5
dataset_01_00104	4	4	4	2	2	4	5	0	4	0	5	5
dataset_01_00105	0	5	4	1	3	4	4	3	4	3	5	4
dataset_01_00106	3	1	1	2	2	3	4	2	5	3	2	2
dataset_01_00107	4	5	3	4	2	3	2	2	4	4	4	1
dataset_01_00108	4	2	3	2	4	4	2	4	5	1	4	4
dataset_01_00109	4	3	5	3	4	4	5	4	5	4	5	5
dataset_01_00110	4	5	4	1	2	2	3	3	4	2	1	2
dataset_01_00111	3	4	3	2	3	4	4	2	2	2	1	2
dataset_01_00112	5	4	2	3	3	4	5	4	5	5	5	5
dataset_01_00113	4	2	3	2	1	3	2	2	4	3	2	3
dataset_01_00114	4	1	2	1	3	3	3	4	5	2	2	3
dataset_01_00115	4	4	4	1	2	4	4	4	4	2	4	4
dataset_01_00116	4	2	5	5	5	0	4	4	5	2	1	2
dataset_01_00117	4	3	5	5	4	5	2	2	5	3	4	3
dataset_01_00118	5	4	5	4	5	5	4	5	5	3	5	5
dataset_01_00119	5	5	5	5	5	5	3	5	4	4	4	5
dataset_01_00120	4	4	0	5	2	3	4	1	2	1	1	2
dataset_01_00121	2	1	2	1	4	4	4	2	4	2	2	2
dataset_01_00122	5	0	4	2	4	5	4	5	5	4	2	0
dataset_01_00123	5	1	4	4	4	4	4	3	3	3	1	2
dataset_01_00124	4	4	4	2	3	4	4	3	5	4	2	3
dataset_01_00125	5	3	2	3	2	3	3	4	4	4	3	2
dataset_01_00126	4	2	3	2	5	4	4	4	2	4	2	2
dataset_01_00127	4	1	3	4	4	3	1	2	4	1	1	1
dataset_01_00128	4	4	2	1	4	4	3	4	4	3	3	5
dataset_01_00129	4	2	4	2	4	3	4	3	4	1	2	2
dataset_01_00130	4	4	5	2	4	5	4	2	5	4	5	5
dataset_01_00131	3	2	4	3	3	4	4	4	4	2	4	2
dataset_01_00132	4	3	1	1	4	3	0	4	4	2	2	2
dataset_01_00133	4	5	4	1	5	5	4	5	4	3	5	4
dataset_01_00134	5	5	5	5	4	5	4	4	5	4	1	1
dataset_01_00135	4	4	2	2	4	4	2	2	4	2	1	3
dataset_01_00136	4	2	4	2	0	4	5	4	4	1	2	3
dataset_01_00137	5	5	5	5	5	5	3	3	4	2	5	2
dataset_01_00138	4	1	5	0	4	5	5	5	5	5	5	5
dataset_01_00139	3	2	4	3	3	5	5	5	5	5	0	5
dataset_01_00140	4	3	4	5	4	5	3	4	4	3	2	2
dataset_01_00141	5	4	5	2	4	5	4	2	4	3	4	2
dataset_01_00142	0	1	1	1	1	1	4	4	2	1	1	2
dataset_01_00143	5	3	5	3	4	5	5	5	5	3	5	5
dataset_01_00144	3	4	4	4	2	4	5	4	5	4	3	5
dataset_01_00145	4	2	2	2	2	3	1	2	3	3	1	1
dataset_01_00146	4	2	5	3	4	4	3	2	4	5	1	2
dataset_01_00147	4	2	2	2	1	3	3	1	4	2	1	1
dataset_01_00148	4	0	4	5	4	4	3	2	3	1	2	1
dataset_01_00149	3	4	2	2	4	3	4	1	2	2	1	1
dataset_01_00150	5	5	4	4	5	5	4	4	4	5	3	3
dataset_01_00151	3	1	4	2	2	1	1	0	3	1	1	1
dataset_01_00152	4	4	4	2	4	4	5	4	4	4	5	3
dataset_01_00153	5	5	5	3	5	5	5	4	5	2	1	2
dataset_01_00154	0	1	1	1	1	1	0	2	4	2	2	3
dataset_01_00155	4	3	3	4	4	4	2	4	3	3	2	4
dataset_01_00156	3	1	4	1	4	2	2	4	3	1	1	2
dataset_01_00157	4	4	5	4	3	4	4	1	4	2	1	3
dataset_01_00158	4	4	2	2	4	4	4	2	5	2	4	5
dataset_01_00159	5	5	5	5	5	5	4	3	3	2	4	3
dataset_01_00160	3	4	4	0	4	4	5	5	5	5	5	5
dataset_01_00161	4	2	3	2	1	3	1	5	4	2	1	2
dataset_01_00162	4	2	3	1	3	4	4	5	4	2	4	2
dataset_01_00163	1	1	1	0	1	1	5	1	4	2	1	1
dataset_01_00164	3	0	4	3	3	5	5	4	4	5	4	2
dataset_01_00165	4	4	4	2	4	5	4	2	4	3	3	4
dataset_01_00166	5	5	5	2	3	4	5	5	5	4	5	5
dataset_01_00167	5	4	5	3	5	5	4	5	4	5	5	2
dataset_01_00168	4	5	5	5	4	5	1	3	2	1	1	1
dataset_01_00169	3	2	2	2	4	3	5	4	4	5	5	3
dataset_01_00170	5	2	4	4	4	4	3	4	5	2	1	4
dataset_01_00171	5	5	5	4	5	5	4	4	5	2	5	4
dataset_01_00172	0	2	3	1	2	3	3	4	4	2	3	3
