item_id,model_id,env_id,correct
b58dd960-7f60-4dd5-91c1-6fd45df1f289,Claude-4.5,afm,1.0
beb08d53-6a36-4633-9b00-dbcbb8e01094,Claude-4.5,afm,1.0
051426a4-62f7-4f2d-88b8-ab74d3e4d8ec,Claude-4.5,afm,1.0
40c8974c-9e0e-4915-add8-a236b37f6441,Claude-4.5,afm,1.0
ac21fa47-b483-44c5-823d-323473f98035,Claude-4.5,afm,1.0
2323892b-9dfc-4af3-9a8a-ab7c1ce56acd,Claude-4.5,afm,1.0
7db013c3-1515-48d0-9493-8cefc3c715d9,Claude-4.5,afm,1.0
ff60dba7-c403-4000-ad74-0d50bf92c669,Claude-4.5,afm,1.0
bb609429-0b28-428e-ab3f-1d5781fdd27c,Claude-4.5,afm,1.0
9ab46ddc-901e-4fcf-add5-e422555a03d6,Claude-4.5,afm,1.0
d725d921-3c68-4bb0-b9a8-7c06de9db31c,Claude-4.5,afm,1.0
acf8dfcc-5390-411a-a9f7-afb18f745239,Claude-4.5,afm,1.0
afb65fcc-dc98-499d-a64f-b0ab59f10004,Claude-4.5,afm,1.0
9671c4ba-c79d-4c29-8294-56c3083e3a68,Claude-4.5,afm,1.0
59729c3c-49b2-4b2b-9d82-b49c78a6c002,Claude-4.5,afm,1.0
e9c7b17f-3067-4fbc-a18e-15cd5b14a89e,Claude-4.5,afm,1.0
fee6817c-aab7-4bd8-a1c5-16fe01494316,Claude-4.5,afm,1.0
6b84d93b-917a-4a2a-a236-1f3299d0b27f,Claude-4.5,afm,1.0
3d4c0b58-1435-4949-8478-3c0394f45f41,Claude-4.5,afm,1.0
6d67bdb1-d742-40e4-976a-1294b50347e0,Claude-4.5,afm,0.0
7cb1d5d8-6f9a-49a9-a8c3-cdc2c3c564c9,Claude-4.5,afm,1.0
040e4274-1e0e-4996-8627-f93c5d4791eb,Claude-4.5,afm,1.0
f44f3c09-3226-47c5-89d2-e2a590edb32c,Claude-4.5,afm,0.0
13470fde-6b22-460f-89c5-ee4173142f18,Claude-4.5,afm,1.0
27454e42-2be3-4793-a9ed-3dfec5931fd0,Claude-4.5,afm,1.0
d26b6839-95c2-485d-97e2-cef5be9bedb4,Claude-4.5,afm,0.0
3bbb9ffb-56f8-4f18-a6cb-51935ab4e825,Claude-4.5,afm,1.0
aebe3254-362a-4061-95d4-0e901fa079e2,Claude-4.5,afm,1.0
dd0cb5d2-ddf9-4de4-a388-9531c243625a,Claude-4.5,afm,0.0
5084be76-224f-429a-9732-c9a715703a6c,Claude-4.5,afm,1.0
255367aa-7498-4fb0-86f8-385709c908bd,Claude-4.5,afm,1.0
21e42faa-306c-4831-a8d0-bf7b2ac49233,Claude-4.5,afm,1.0
f0029e7c-431a-4e76-a559-e2f30fa380a5,Claude-4.5,afm,1.0
fa9e901d-b50c-4c03-9929-10a998ffb276,Claude-4.5,afm,1.0
e3289747-8e0e-4c3a-9a0b-a30c54286748,Claude-4.5,afm,1.0
eccbd244-e351-4512-9e98-d2504a37577e,Claude-4.5,afm,1.0
c384548c-5f91-482d-8bba-f1d60e3e2fbc,Claude-4.5,afm,1.0
e442d53d-8a74-41e2-af2f-a812de20cfcc,Claude-4.5,afm,1.0
1697931c-c00f-4c31-89f9-13021ef72a95,Claude-4.5,afm,0.0
10afb1f1-cfe0-4a13-9b5e-39de22bb2216,Claude-4.5,afm,1.0
54f4a60b-f510-4f9b-beaa-e77d7d675132,Claude-4.5,afm,1.0
58d6e53b-98bf-4248-bf44-e7dbb4f8fc52,Claude-4.5,afm,1.0
cbdf8ba0-d327-4bed-8789-002f48645258,Claude-4.5,afm,1.0
1b85d027-c270-4935-99b9-45aadaae5340,Claude-4.5,afm,0.0
8fd50559-283c-4100-b83c-bd8ebef2dfd3,Claude-4.5,afm,1.0
b6c87ea2-ffb1-4fbe-b089-4b226047c6e7,Claude-4.5,afm,1.0
5f17549c-7bf4-4eb6-a547-7274c7dddcb3,Claude-4.5,afm,1.0
65234154-4e5d-4ae1-a54e-43cb8180f975,Claude-4.5,afm,1.0
081564ed-ce67-43b7-b37d-b05079a1adc5,Claude-4.5,afm,1.0
1962f69e-874f-4202-9fb2-ce1dd96f0576,Claude-4.5,afm,1.0
