participant_id	HSNS1	HSNS2	HSNS3	HSNS4	HSNS5	HSNS6	HSNS7	HSNS8	HSNS9	HSNS10	age	gender	accuracy	country
P00001	2	5	3	1	4	3	3	2	4	1	38	1	97	US
P00002	4	2	4	2	4	5	5	5	4	5	37	1	91	US
P00003	5	5	4	4	2	5	5	5	5	2	20	1	94	US
P00004	2	0	5	4	4	5	5	1	5	1	43	1	84	US
P00005	4	0	5	4	4	4	5	3	2	2	26	1	85	US
P00006	2	1	1	2	2	4	2	4	1	2	25	1	58	US
P00007	4	2	4	3	2	5	4	3	3	1	42	1	66	US
P00008	4	1	4	2	4	5	2	3	4	4	28	1	90	US
P00009	5	5	3	2	5	4	5	0	5	4	18	1	98	US
P00010	4	2	4	3	3	4	4	2	4	3	31	1	96	US
P00011	3	2	2	2	2	4	4	2	2	1	23	1	97	US
P00012	4	1	2	2	2	4	3	2	5	3	39	1	96	US
P00013	3	5	5	4	2	5	5	4	4	2	38	1	94	US
P00014	4	2	2	2	4	5	3	5	2	3	45	1	92	US
P00015	1	2	1	2	4	4	2	2	1	1	18	1	84	US
P00016	5	5	2	5	4	5	0	4	3	3	37	1	74	US
P00017	2	1	2	2	3	2	4	1	2	1	34	1	72	US
P00018	5	1	1	1	2	5	2	3	4	1	25	1	96	US
P00019	4	5	5	2	1	4	3	3	3	2	39	1	60	US
P00020	5	3	2	2	4	5	4	4	5	3	29	1	85	US
P00021	5	3	2	2	2	4	1	5	1	1	43	1	95	US
P00022	3	2	2	2	1	4	2	2	3	1	36	1	72	US
P00023	2	4	5	1	4	4	5	4	4	1	42	1	94	US
P00024	5	1	1	2	2	3	1	2	4	4	21	1	82	US
P00025	2	4	4	2	2	4	4	0	3	3	38	1	69	US
P00026	1	1	1	1	1	3	1	1	1	1	19	1	88	US
P00027	1	3	4	2	5	4	5	2	4	2	42	1	86	US
P00028	2	4	5	2	3	5	2	4	5	1	19	1	80	US
P00029	5	0	2	2	4	4	3	4	4	3	29	1	93	US
P00030	1	3	2	2	4	4	1	2	4	2	45	1	84	US
P00031	4	1	2	3	4	5	2	4	2	4	30	1	77	US
P00032	3	3	3	3	4	5	4	3	4	2	38	1	80	US
P00033	5	4	4	4	5	5	4	5	4	5	48	1	93	US
P00034	4	4	0	4	4	5	5	4	5	4	45	1	83	US
P00035	4	1	1	5	3	4	1	4	4	1	18	1	82	US
P00036	2	2	4	2	4	4	2	3	3	2	18	1	86	US
P00037	5	5	5	1	5	4	5	5	4	3	41	1	98	US
P00038	5	4	5	5	4	5	5	5	5	4	43	1	82	US
P00039	5	1	2	2	3	4	1	3	3	4	39	1	84	US
P00040	3	4	5	5	4	4	4	3	5	1	29	1	94	US
P00041	5	4	4	5	5	5	4	4	5	5	31	1	95	US
P00042	2	3	4	2	2	4	4	2	4	1	36	1	78	US
P00043	2	1	1	2	4	5	4	4	1	1	20	1	81	US
P00044	1	4	2	4	5	4	4	4	5	5	42	1	63	US
P00045	4	4	4	0	5	4	4	4	4	4	30	1	99	US
P00046	4	1	2	5	5	5	5	3	4	3	30	1	93	US
P00047	4	5	4	2	2	5	5	5	5	5	43	1	58	US
P00048	5	2	4	4	4	5	4	4	4	3	29	1	74	US
P00049	3	4	4	2	2	4	5	3	4	2	29	1	96	US
P00050	2	4	5	4	2	4	5	3	2	2	59	1	66	US
P00051	4	4	2	1	3	5	2	2	1	1	43	1	73	US
P00052	5	2	2	1	4	4	4	3	5	5	45	1	95	US
P00053	4	1	5	4	2	4	2	2	1	1	41	1	85	US
P00054	5	5	3	5	3	3	4	2	2	4	33	1	89	US
P00055	4	5	5	4	4	4	5	3	5	2	39	1	92	US
P00056	4	2	3	2	1	3	4	2	3	2	19	1	81	US
P00057	4	4	2	4	5	4	4	2	4	4	30	1	79	US
P00058	4	1	2	2	4	2	1	4	4	2	23	1	94	US
P00059	4	2	5	1	1	3	4	2	4	1	31	1	78	US
P00060	5	4	4	3	3	5	4	5	4	2	46	1	97	US
P00061	4	3	4	2	3	4	5	3	5	2	29	1	93	US
P00062	5	2	5	2	4	2	2	4	5	3	43	1	90	US
P00063	5	1	2	5	5	4	4	4	4	2	30	1	62	US
P00064	5	4	4	3	4	4	5	5	5	4	18	1	72	US
P00065	3	1	1	2	1	2	1	2	1	1	30	1	90	US
P00066	4	3	4	3	4	3	5	2	4	4	63	1	81	US
P00067	5	5	5	3	4	4	3	4	3	3	33	1	84	US
P00068	5	3	0	1	4	5	4	4	5	2	25	1	86	US
P00069	3	2	4	1	2	4	1	2	4	4	35	1	85	US
P00070	2	4	4	5	4	5	5	5	5	5	37	1	90	US
P00071	2	2	4	3	4	4	5	2	3	2	37	1	72	US
P00072	2	4	5	3	2	3	4	2	4	2	30	1	86	US
P00073	5	5	4	5	2	4	4	4	3	2	32	1	74	US
P00074	5	4	2	3	2	3	1	4	4	4	29	1	86	US
P00075	4	2	1	3	2	3	2	3	3	1	28	1	97	US
P00076	5	2	1	4	5	5	4	5	4	3	37	1	85	US
P00077	5	1	2	2	4	2	1	4	4	2	25	1	79	US
P00078	4	1	2	3	5	2	2	3	1	5	42	1	88	US
P00079	1	4	5	2	1	4	3	1	2	1	36	1	90	US
P00080	4	5	5	2	3	4	5	2	1	1	18	1	89	US
P00081	1	4	2	2	1	5	4	3	4	1	35	1	67	US
P00082	4	4	4	2	4	1	4	2	4	4	42	1	56	US
P00083	1	4	5	2	1	4	4	5	4	2	30	1	94	US
P00084	1	1	2	1	3	4	3	3	3	1	46	1	100	US
P00085	2	2	3	1	1	3	2	1	1	1	26	1	99	US
P00086	2	2	1	2	2	4	4	3	3	1	39	1	76	US
P00087	5	2	3	4	5	4	4	5	5	4	33	1	96	US
P00088	3	2	2	2	4	4	3	0	5	1	27	1	90	US
P00089	5	5	5	0	5	5	5	5	5	5	31	1	81	US
P00090	4	3	2	2	2	4	3	2	4	4	18	1	94	US
P00091	0	2	4	4	5	5	3	4	5	3	31	1	78	US
P00092	4	4	5	3	4	5	4	4	4	5	24	1	82	US
P00093	5	1	4	3	2	5	4	3	4	4	44	1	95	US
P00094	5	4	4	2	4	5	3	5	2	5	54	1	72	US
P00095	3	1	1	4	4	4	2	4	3	3	19	1	89	US
P00096	2	1	4	2	2	5	1	3	1	1	45	1	93	US
P00097	5	4	4	2	5	5	2	4	4	4	52	1	88	US
P00098	4	4	4	5	2	3	4	2	5	1	33	1	71	US
P00099	5	2	3	1	4	5	2	5	5	3	29	1	74	US
P00100	4	2	4	3	2	4	4	4	4	1	55	1	96	US
P00101	4	3	3	3	4	4	4	3	3	1	34	1	96	US
P00102	4	4	4	5	2	5	5	4	4	4	19	1	88	US
P00103	4	1	2	4	3	4	3	5	2	3	50	1	82	US
P00104	5	2	4	2	4	4	2	5	4	2	38	1	80	US
P00105	5	4	2	4	1	5	4	2	4	2	25	1	87	US
P00106	5	4	2	3	5	5	4	3	4	3	50	1	93	US
P00107	5	1	4	2	4	4	3	4	2	2	48	1	84	US
P00108	4	2	3	3	5	4	4	4	4	4	28	1	89	US
P00109	5	4	5	4	2	3	4	2	5	4	40	1	80	US
P00110	4	5	5	2	3	4	4	5	4	2	59	1	92	US
P00111	4	1	2	1	1	4	2	2	2	1	28	1	97	US
P00112	5	5	5	3	4	4	4	2	5	2	22	1	92	US
P00113	5	2	5	2	2	3	4	4	4	2	32	1	64	US
P00114	4	4	5	2	2	4	4	2	4	1	34	1	86	US
P00115	5	3	4	3	5	5	2	5	5	1	39	1	81	US
P00116	4	3	2	5	4	2	4	3	2	1	19	1	72	US
P00117	2	1	1	2	4	5	1	2	1	2	34	1	81	US
P00118	1	1	5	2	1	5	2	2	1	3	22	1	81	US
P00119	4	3	4	2	2	4	2	4	0	2	44	1	81	US
P00120	4	0	4	0	2	5	2	4	3	3	44	1	84	US
P00121	4	4	2	4	5	5	4	3	2	2	42	1	83	US
P00122	4	1	2	5	2	0	2	2	5	4	41	1	67	US
P00123	3	4	1	4	3	4	3	3	5	4	23	1	76	US
P00124	5	4	4	4	4	5	4	4	4	3	31	1	93	US
P00125	5	2	5	4	4	4	2	3	2	4	32	1	81	US
P00126	4	2	4	4	4	5	2	4	5	3	43	1	96	US
P00127	5	2	3	2	5	4	4	3	3	5	46	1	79	US
P00128	3	3	4	1	3	4	2	4	4	3	46	1	95	US
P00129	3	2	2	3	3	4	4	1	5	1	23	1	86	US
P00130	5	5	5	5	5	5	5	5	5	5	42	1	86	US
P00131	2	2	3	2	2	4	2	1	4	1	26	1	97	US
P00132	3	2	5	2	2	4	5	1	5	3	27	1	69	US
P00133	5	4	5	5	3	4	4	5	4	1	52	1	84	US
