participant_id	gender	credit_allocation	feedback_reactivity
P00001	1	50.9917269930681	59.283342102198304
P00002	1	64.09750173192538	51.412555186907504
P00003	1	38.77362320846164	66.93821782640752
P00004	1	42.74507376422429	73.22826466084484
P00005	1	59.71894053854602	42.23906408933621
P00006	1	35.88228817760638	28.656712693879257
P00007	1	33.47826987486648	26.463779468043565
P00008	1	39.070030664146834	57.24320340335197
P00009	1	64.7705420851794	55.349173445809996
P00010	1	43.523993801029874	36.19804497239667
P00011	1	34.38114742472644	41.862454434721414
P00012	1	41.53094334813258	41.02349940181006
P00013	1	54.690349989636786	77.75309113861297
P00014	1	61.579626337503946	42.838388521929375
P00015	1	40.029073145393056	33.73180104730456
P00016	1	57.05847326786011	54.38926075041576
P00017	1	32.50624932324492	41.54927162450133
P00018	1	36.800550790420026	32.245414183978646
P00019	1	50.46357868339945	66.76997879896844
P00020	1	67.1407522251245	58.5597224930688
P00021	1	42.57600480737246	54.51849254846192
P00022	1	28.628239530005573	47.39920730116672
P00023	1	61.41020045904146	36.85262306941205
P00024	1	42.75149877302495	44.56076941962084
P00025	1	49.43441313311757	63.66341066832693
P00026	1	24.73442790489929	38.76244395117643
P00027	1	46.54114720797479	64.85547289482697
P00028	1	33.769046889256984	47.54818069131785
P00029	1	51.043076462652486	44.077924354403436
P00030	1	45.3156819473061	32.7545191143186
P00031	1	51.57904765099168	45.34427946523193
P00032	1	51.4305531383878	55.780925161738864
P00033	1	85.10868894472851	59.94062238301676
P00034	1	56.642532321168055	63.863881875224656
P00035	1	46.633658566869734	47.623791274647736
P00036	1	42.043895350573436	28.361679856601178
P00037	1	61.90120606276945	71.66690034499223
P00038	1	86.48609956404442	69.8190525220406
P00039	1	46.53714445563628	25.144827117026406
P00040	1	56.2085381575468	51.65285734617875
P00041	1	60.164195395528026	42.36719068256526
P00042	1	36.61815349183847	52.58940004328249
P00043	1	51.25401974266779	28.240122465491574
P00044	1	43.005039856468755	57.61869009216758
P00045	1	58.936758296736336	41.527228746520265
P00046	1	56.24863566620324	49.17851142982843
P00047	1	46.0132538423089	58.73559831745847
P00048	1	52.030182064376135	36.97073119425503
P00049	1	36.68680490471965	65.12429887823549
P00050	1	35.961302088569646	53.01028416526457
P00051	1	54.97338117089954	39.19505199524994
P00052	1	63.87530728700419	51.423723171388716
P00053	1	32.393019638791	26.522509901298452
P00054	1	50.46465243065343	67.8490066042949
P00055	1	54.74718120504256	84.58175249515732
