model,category,mean_importance,median_importance,count
LogReg,Complexity Metrics,0.27013983474376346,0.1922908482983006,21
LogReg,Count Metrics,0.20004391375500633,0.16364114469431257,175
LogReg,Distribution Metrics,0.2527135521045773,0.21994432227026703,7
LogReg,Error Metrics,0.13454891666772148,0.07926515891168759,98
LogReg,Other Metrics,0.21721634169698162,0.1304936237710066,35
LogReg,Rate/Ratio Metrics,0.2626361273856729,0.1983464720264297,98
LogReg,Statistical Metrics,0.27963593951536475,0.32413690905533754,14
LogReg,Step Metrics,0.10529049093304418,0.0,161
LogReg,Token Metrics,0.21042444981685277,0.15934220390139045,21
LogReg,Tool Usage,0.23154602743394165,0.1731864156548037,112
RF,Complexity Metrics,0.2792141900246425,0.13978804773676093,21
RF,Count Metrics,0.09868444837062446,0.028163763168483135,175
RF,Distribution Metrics,0.2522670611335142,0.20611243309360552,7
RF,Error Metrics,0.03155471635536595,0.012450834106980013,98
RF,Other Metrics,0.22331633856966746,0.10237692225476185,35
RF,Rate/Ratio Metrics,0.1314033671511001,0.062235771623465705,98
RF,Statistical Metrics,0.18374839619437372,0.1240425324823276,14
RF,Step Metrics,0.057683453925611854,0.0,161
RF,Token Metrics,0.27724637536574526,0.20282729417631143,21
RF,Tool Usage,0.15601382675744854,0.0846400488726063,112
XGB,Complexity Metrics,0.1392670227042303,0.07005032182051417,21
XGB,Count Metrics,0.055254693668695246,0.0,175
XGB,Distribution Metrics,0.44744709169535224,0.27860994593560856,7
XGB,Error Metrics,0.019065726601675177,0.0,98
XGB,Other Metrics,0.17304881084007379,0.01944489927380899,35
XGB,Rate/Ratio Metrics,0.09067474084553774,0.025533530612236253,98
XGB,Statistical Metrics,0.1134569505621307,0.08656014865296824,14
XGB,Step Metrics,0.04215333635821831,0.0,161
XGB,Token Metrics,0.10522805502568461,0.09274360063101685,21
XGB,Tool Usage,0.0875599621397449,0.04838022005803812,112
