item	review_batch	reviewed_on	vendor_flag	bank_version
CAT01	B1	2026-04-11	cleared	3
CAT02	B1	2026-04-11	cleared	3
CAT03	B2	2026-04-18	flagged	3
CAT04	B1	2026-04-11	cleared	3
CAT05	B1	2026-04-11	cleared	3
CAT06	B2	2026-04-18	flagged	3
CAT07	B2	2026-04-18	flagged	3
CAT08	B1	2026-04-11	cleared	3
CAT09	B1	2026-04-11	cleared	3
CAT10	B1	2026-04-11	cleared	3
CAT11	B1	2026-04-11	cleared	3
CAT12	B1	2026-04-11	cleared	3
CAT13	B1	2026-04-11	cleared	3
CAT14	B1	2026-04-11	cleared	3
CAT15	B1	2026-04-11	cleared	3
CAT16	B1	2026-04-11	cleared	3
CAT17	B1	2026-04-11	cleared	3
CAT18	B1	2026-04-11	cleared	3
CAT19	B1	2026-04-11	cleared	3
CAT20	B1	2026-04-11	cleared	3
