participant_id	CAT01	CAT02	CAT03	CAT04	CAT05	CAT06	CAT07	CAT08	CAT09	CAT10	CAT11	CAT12	CAT13	CAT14	CAT15	CAT16	CAT17	CAT18	CAT19	CAT20
C00000	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0
C00001	1	1	0	1	1	1	1	1	1	0	1	1	0	0	1	0	1	0	0	0
C00002	1	1	0	0	1	1	1	1	1	1	0	1	1	1	0	0	0	1	0	0
C00003	1	1	0	1	1	0	0	1	0	1	1	0	1	0	0	0	0	1	0	0
C00004	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	1
C00005	1	1	1	1	1	1	1	0	0	0	0	1	1	0	0	0	0	0	1	0
C00006	1	0	0	1	1	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0
C00007	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	0	1	0	0
C00008	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	0
C00009	1	1	1	0	0	1	1	1	0	0	1	1	0	0	0	0	1	0	0	0
C00010	0	1	1	1	1	1	1	0	0	1	1	1	0	0	0	1	0	0	0	0
C00011	1	1	1	1	0	1	1	1	1	1	0	1	1	0	0	0	0	1	0	0
C00012	0	1	0	1	1	1	1	0	1	0	0	1	1	0	0	0	1	0	0	0
C00013	0	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	0	0	1	0
C00014	1	1	1	0	0	0	0	1	1	1	1	1	1	0	0	1	0	0	0	1
C00015	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0
C00016	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
C00017	0	1	1	1	1	1	1	1	1	0	1	1	0	0	1	0	0	0	0	0
C00018	1	1	1	1	0	1	1	1	1	1	0	1	1	0	0	1	0	1	1	0
C00019	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0
C00020	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0
C00021	1	0	0	1	1	0	1	1	0	1	0	1	1	0	1	0	0	0	0	0
C00022	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	0	0
C00023	1	1	1	1	0	1	1	1	0	1	0	0	0	0	0	1	0	0	0	1
C00024	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1
C00025	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
C00026	0	1	0	1	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0
C00027	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	1	0	0	0
C00028	1	1	0	1	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0
C00029	1	1	1	0	1	1	1	1	1	0	0	1	1	1	0	1	1	0	0	0
C00030	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	0	0	0	0	0
C00031	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	1	0	0	0	0
C00032	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
C00033	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	0	0	0
C00034	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1
C00035	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
C00036	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	0	0	0	0	0
C00037	1	1	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0
C00038	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0
C00039	1	1	0	1	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0
C00040	1	1	1	1	1	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0
C00041	0	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	1	0	0
C00042	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
C00043	1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	1	0	0	0	1
C00044	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	0	1	1	1
C00045	1	1	1	1	0	0	0	1	1	0	1	1	0	1	1	0	0	0	1	0
C00046	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	0	0	0
C00047	1	0	1	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0
C00048	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1
C00049	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0
C00050	1	1	1	1	0	1	0	1	1	0	1	1	0	0	0	0	0	0	1	0
C00051	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
C00052	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C00053	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	0
C00054	1	1	0	0	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	0
C00055	1	0	1	1	0	1	1	1	0	1	0	1	1	1	0	0	0	0	0	0
C00056	1	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0
C00057	1	1	0	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0
C00058	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
