item,a,b,environment
retro|level_1|make_1_lvl1,0.8828069279524573,0.5204178061123567,retro
retro|level_1|make_2_lvl1,1.626088211454064,-3.323510667428251,retro
retro|level_1|make_3_lvl1,1.626062464559666,-3.323567210454497,retro
retro|level_1|make_4_lvl1,2.442437425876439,-3.3991826541997674,retro
retro|level_1|make_5_lvl1,0.9626320889130039,-2.1244845266310444,retro
retro|level_1|make_6_lvl1,2.4424213516778477,-3.3991870098978416,retro
retro|level_1|make_7_lvl1,2.442390007314228,-3.3991952950892514,retro
retro|level_1|make_8_lvl1,0.9451197122312198,-3.173082913445889,retro
retro|level_2|make_1_lvl2,1.512188778472252,2.825465696338697,retro
retro|level_2|make_2_lvl2,1.62195554991151,-2.6317010323251955,retro
retro|level_2|make_3_lvl2,0.6785643299069435,-1.861892807557102,retro
retro|level_2|make_4_lvl2,0.9054168983173365,-3.4025833509161094,retro
retro|level_2|make_5_lvl2,1.9115064467210934,1.2508537939049194,retro
retro|level_2|make_6_lvl2,0.950088684664949,3.6616168971956444,retro
retro|level_2|make_7_lvl2,1.2094044449077999,-0.22027509402870962,retro
retro|level_2|make_8_lvl2,1.3014013241790374,1.5042755666480405,retro
retro|level_3|make_1_lvl3,1.6185910385480595,3.38386511268742,retro
retro|level_3|make_2_lvl3,1.6185496313622434,3.3839588911875444,retro
retro|level_3|make_3_lvl3,1.6186261057533438,3.3837874930498506,retro
retro|level_3|make_4_lvl3,1.2257293840584178,3.164769826273242,retro
retro|level_3|make_5_lvl3,0.7928779468185346,3.274271928064322,retro
retro|level_3|make_6_lvl3,0.3759092777298877,1.6917043780398386,retro
retro|level_3|make_7_lvl3,1.0350954238820838,-0.7834763167174759,retro
retro|level_3|make_8_lvl3,0.548948669740675,2.581398483050522,retro
spectra|level_1|00_0000_orgsyn_000_0000,2.0968873699054473,-1.614149110750355,spectra
spectra|level_1|10_15227_orgsyn_084_0011_sub1,1.3585441327399073,-0.1366466910531094,spectra
spectra|level_1|10_15227_orgsyn_084_0011_sub2,0.9214239576127646,1.056332565782523,spectra
spectra|level_1|10_15227_orgsyn_084_0011_sub3,2.399925079157231,-0.5081339816580928,spectra
spectra|level_1|10_15227_orgsyn_084_0077,1.79366798353141,0.08184454540621618,spectra
spectra|level_1|10_15227_orgsyn_084_0215,1.413058608458251,0.6953996679953544,spectra
spectra|level_1|10_15227_orgsyn_084_0317m,0.6464805313014469,1.4255918708344923,spectra
spectra|level_1|10_15227_orgsyn_096_0036,1.3128896972322357,2.373862013584869,spectra
spectra|level_1|10_15227_orgsyn_096_0245,1.9688677835255357,1.128803948743924,spectra
spectra|level_1|10_15227_orgsyn_101_0327,1.7469531366625655,-1.5289188787776684,spectra
spectra|level_1|10_15227_orgsyn_102_0001,1.611595791361075,0.7327139442283641,spectra
spectra|level_1|10_15227_orgsyn_102_0086,1.3513540776331263,-0.8142094388714239,spectra
spectra|level_1|10_15227_orgsyn_102_0114,2.2516999070402535,-2.0626322253281795,spectra
spectra|level_1|11_11111_orgsyn_111_1111,1.4090523371946262,0.34899173697294883,spectra
spectra|level_1|22_22222_orgsyn_222_2222,1.3177087533883007,-0.3023083641707393,spectra
spectra|level_1|33_33333_orgsyn_333_3333,1.4920211285907174,0.586006871859799,spectra
spectra|level_1|55_55555_orgsyn_555_5555,1.596233771206406,0.32126287036985507,spectra
