environment,level,task,status
resistor,level_1,task_0,kept_whole
resistor,level_1,task_1,kept_whole
resistor,level_1,task_2,kept_whole
resistor,level_1,task_3,kept_whole
resistor,level_1,task_4,kept_whole
resistor,level_1,task_5,kept_whole
retro,level_1,make_1_lvl1,sampled
retro,level_2,make_6_lvl2,sampled
retro,level_2,make_8_lvl2,sampled
retro,level_3,make_7_lvl3,sampled
retro,level_3,make_8_lvl3,sampled
spectra,level_1,00_0000_orgsyn_000_0000,sampled
spectra,level_1,10_15227_orgsyn_102_0114,sampled
spectra,level_1,11_11111_orgsyn_111_1111,sampled
spectra,level_1,55_55555_orgsyn_555_5555,sampled
spectra,level_2,00_0000_orgsyn_000_0000,sampled
spectra,level_2,10_15227_orgsyn_084_0011_sub3,sampled
spectra,level_2,10_15227_orgsyn_084_0215,sampled
spectra,level_2,77_77777_orgsyn_777_7777,sampled
spectra,level_2,88_88888_orgsyn_888_8888,sampled
wetlab,level_1,qualysis_lvl1_01,sampled
wetlab,level_1,qualysis_lvl1_06,sampled
wetlab,level_2,qualysis_lvl2_03,sampled
wetlab,level_2,qualysis_lvl2_10,sampled
wetlab,level_3,qualysis_lvl3_03,sampled
wetlab,level_3,qualysis_lvl3_05,sampled
