Environment,Model,Test ROC-AUC,Test F1,Test Accuracy,Test Precision,Test Recall,CV Mean
md,LogReg,0.9888337468982631,0.8,0.9333333333333333,0.8333333333333334,0.7692307692307693,0.9830545454545454
md,RF,0.9975186104218362,0.9166666666666666,0.9733333333333334,1.0,0.8461538461538461,0.9988289424860852
md,XGB,0.9975186104218362,0.9166666666666666,0.9733333333333334,1.0,0.8461538461538461,0.9952126159554731
retrosynthesis,LogReg,0.9517543859649122,0.9230769230769231,0.8928571428571429,0.9,0.9473684210526315,0.942410650281618
retrosynthesis,RF,0.9605263157894737,0.9090909090909091,0.875,0.8974358974358975,0.9210526315789473,0.9823143881208397
retrosynthesis,XGB,0.9576023391812866,0.8918918918918919,0.8571428571428571,0.9166666666666666,0.868421052631579,0.9832831541218638
afm,LogReg,1.0,1.0,1.0,1.0,1.0,0.9584199134199135
afm,RF,0.9821428571428572,0.6666666666666666,0.9117647058823529,1.0,0.5,1.0
afm,XGB,0.9999999999999999,0.6666666666666666,0.9117647058823529,1.0,0.5,0.9963636363636365
catalyst,LogReg,1.0,1.0,1.0,1.0,1.0,1.0
catalyst,RF,1.0,1.0,1.0,1.0,1.0,1.0
catalyst,XGB,1.0,1.0,1.0,1.0,1.0,1.0
ml,LogReg,0.8703703703703705,0.8333333333333334,0.75,0.8333333333333334,0.8333333333333334,0.748095238095238
ml,RF,0.9537037037037037,0.8888888888888888,0.8333333333333334,0.8888888888888888,0.8888888888888888,0.8942857142857144
ml,XGB,0.962962962962963,0.9411764705882353,0.9166666666666666,1.0,0.8888888888888888,0.8142857142857143
resistor,LogReg,0.9673321234119782,0.95,0.9583333333333334,0.9047619047619048,1.0,0.9972222222222221
resistor,RF,0.97005444646098,0.95,0.9583333333333334,0.9047619047619048,1.0,1.0
resistor,XGB,0.9655172413793103,0.95,0.9583333333333334,0.9047619047619048,1.0,0.9966666666666667
all,LogReg,0.9484983314794216,0.8934426229508197,0.9033457249070632,0.9083333333333333,0.8790322580645161,0.9552887495646116
all,RF,0.9798109010011122,0.9397590361445783,0.9442379182156134,0.936,0.9435483870967742,0.9899845107749157
all,XGB,0.9837597330367075,0.952,0.9553903345724907,0.9444444444444444,0.9596774193548387,0.9930575076098315
