feature,count,percentage
tool_execution_duration,11,52.38095238095239
level,11,52.38095238095239
tool_latency_mean,10,47.61904761904761
prompt_tokens,8,38.095238095238095
tool_latency_std,7,33.33333333333333
total_markers,6,28.57142857142857
total_tokens,6,28.57142857142857
self_correction_marker_count,5,23.809523809523807
qa_score,5,23.809523809523807
self_correction_marker_ratio,5,23.809523809523807
model_gpt-4o,5,23.809523809523807
tool_latency_max,4,19.047619047619047
step_count,4,19.047619047619047
confidence_marker_count,4,19.047619047619047
marker_balance,4,19.047619047619047
positive_marker_ratio,4,19.047619047619047
give_up_count,4,19.047619047619047
unique_tool_calls_ratio,4,19.047619047619047
planning_to_total_ratio,4,19.047619047619047
avg_words_per_message,4,19.047619047619047
retry_rate,4,19.047619047619047
positive_marker_count,4,19.047619047619047
thought_to_action_ratio,3,14.285714285714285
reasoning_statement_count,3,14.285714285714285
avg_tools_per_step,3,14.285714285714285
neutral_marker_ratio,3,14.285714285714285
message_length_std,3,14.285714285714285
reasoning_to_total_ratio,3,14.285714285714285
hallucination_count,3,14.285714285714285
problem_marker_ratio,3,14.285714285714285
tool_gini_coefficient,3,14.285714285714285
tool_switching_rate,3,14.285714285714285
top3_tool_concentration,3,14.285714285714285
neutral_count,2,9.523809523809524
assistant_steps_to_first_planning,2,9.523809523809524
total_message_length,2,9.523809523809524
successful_calls,2,9.523809523809524
total_calls,2,9.523809523809524
max_consecutive_successes,2,9.523809523809524
assistant_steps_count,2,9.523809523809524
recovery_marker_ratio,2,9.523809523809524
problem_marker_count,2,9.523809523809524
confidence_marker_ratio,2,9.523809523809524
assistant_steps_to_first_error,1,4.761904761904762
backtrack_to_total_ratio,1,4.761904761904762
validation_to_total_ratio,1,4.761904761904762
most_used_tool_count,1,4.761904761904762
negative_marker_ratio,1,4.761904761904762
neutral_marker_count,1,4.761904761904762
completion_tokens,1,4.761904761904762
tool_diversity_entropy,1,4.761904761904762
missing_validation_count,1,4.761904761904762
uncertainty_marker_ratio,1,4.761904761904762
validation_after_error_rate,1,4.761904761904762
rare_tool_ratio,1,4.761904761904762
steps_to_first_planning,1,4.761904761904762
syntax_error_count,1,4.761904761904762
longest_looping_sequence,1,4.761904761904762
tools_used_count,1,4.761904761904762
has_tool_error_in_first_step,1,4.761904761904762
backtrack_after_error_rate,1,4.761904761904762
verification_marker_count,1,4.761904761904762
steps_to_first_error,1,4.761904761904762
code_block_count,1,4.761904761904762
negative_marker_count,1,4.761904761904762
success_rate,1,4.761904761904762
has_planning_in_first_step,1,4.761904761904762
error_burstiness,1,4.761904761904762
max_consecutive_failures,1,4.761904761904762
most_used_tool_ratio,1,4.761904761904762
annotatable_steps_count,1,4.761904761904762
assistant_steps_to_first_tool_call,1,4.761904761904762
avg_message_length,1,4.761904761904762
steps_to_first_tool_call,1,4.761904761904762
marker_balance_ratio,1,4.761904761904762
avg_assistant_message_length,1,4.761904761904762
unnecessary_tool_use_count,1,4.761904761904762
