session_id	device_family	completion_band	response_quality_band
S009368	device_0885	ordinary	typical
S007803	device_2721	repeatable	high
S003854	device_2009	repeatable	typical
S003797	device_1599	ordinary	typical
S000921	device_1772	ordinary	high
S003405	device_0219	ordinary	typical
S005194	device_2601	ordinary	typical
S009839	device_1574	ordinary	typical
S001983	device_0405	ordinary	low
S011304	device_2157	ordinary	typical
S000076	device_0597	ordinary	high
S010362	device_0394	repeatable	high
S004381	device_1175	ordinary	typical
S003071	device_2790	ordinary	typical
S000689	device_1850	ordinary	high
S001871	device_2682	repeatable	high
S005665	device_2037	ordinary	typical
S000641	device_0158	ordinary	typical
S004037	device_3568	repeatable	high
S002638	device_3086	ordinary	typical
S000119	device_1570	ordinary	typical
S002507	device_1199	repeatable	typical
S009096	device_1845	repeatable	high
S008108	device_0792	repeatable	high
S011508	device_1195	ordinary	high
S009427	device_3389	ordinary	typical
S002677	device_0131	ordinary	typical
S006885	device_0781	ordinary	high
S006371	device_0224	ordinary	high
S003976	device_2316	ordinary	typical
S004093	device_1903	ordinary	typical
S008679	device_0932	ordinary	typical
S004404	device_2187	repeatable	high
S005372	device_2594	ordinary	typical
S009995	device_3374	repeatable	typical
S009387	device_0393	ordinary	typical
S006835	device_3474	ordinary	typical
S004284	device_2454	repeatable	high
S000451	device_2445	ordinary	typical
S012538	device_0637	repeatable	high
S000655	device_0417	repeatable	typical
S007020	device_1281	ordinary	high
S004672	device_3430	repeatable	high
S006223	device_2317	ordinary	typical
S011111	device_3406	ordinary	low
S006182	device_0211	ordinary	typical
S012821	device_1776	ordinary	typical
S010477	device_1112	ordinary	low
S011939	device_2166	repeatable	typical
S008756	device_2993	repeatable	high
S010634	device_1013	repeatable	high
S011501	device_3007	ordinary	typical
S002052	device_1234	ordinary	typical
S005567	device_1343	ordinary	typical
S007577	device_2505	ordinary	typical
S008304	device_3231	ordinary	typical
S011722	device_2170	ordinary	high
S012275	device_0630	ordinary	high
S005987	device_0011	ordinary	typical
S006108	device_0112	ordinary	typical
S005260	device_0338	repeatable	typical
S012957	device_0182	repeatable	high
S010608	device_2249	ordinary	high
S011448	device_2059	ordinary	high
S000975	device_2842	repeatable	high
S009855	device_0146	ordinary	typical
S010142	device_0871	ordinary	typical
S011804	device_3065	ordinary	typical
S000186	device_0421	ordinary	typical
S004225	device_2198	ordinary	typical
S008236	device_0423	repeatable	typical
S012697	device_2076	ordinary	typical
S004728	device_2976	ordinary	high
S011881	device_2270	repeatable	high
S009845	device_2573	repeatable	high
S002728	device_3580	repeatable	high
S003812	device_0923	ordinary	typical
S003701	device_2380	ordinary	high
S006236	device_0834	ordinary	typical
S000651	device_3241	ordinary	typical
S007543	device_0327	ordinary	typical
S008209	device_3084	ordinary	typical
S012106	device_0411	repeatable	high
S007836	device_2502	repeatable	low
S009829	device_1370	ordinary	typical
S007400	device_3143	ordinary	typical
S007701	device_2154	ordinary	high
S007225	device_2302	repeatable	high
S002901	device_0040	repeatable	high
S002868	device_1224	ordinary	typical
S001464	device_0482	ordinary	typical
S005405	device_0958	ordinary	typical
S000644	device_0955	ordinary	typical
S003159	device_1787	ordinary	typical
S009936	device_2535	repeatable	high
S010500	device_1637	ordinary	typical
S000047	device_3412	ordinary	high
S004902	device_3090	ordinary	typical
S001458	device_3132	repeatable	high
S002495	device_1162	ordinary	typical
S010507	device_2655	repeatable	typical
S008453	device_2719	ordinary	high
S005202	device_1288	ordinary	typical
S009678	device_2133	ordinary	high
S010141	device_1217	ordinary	typical
S005571	device_2525	ordinary	typical
S005542	device_2111	ordinary	typical
