feature,coefficient,abs_coefficient
neutral_marker_count,-1.8372064308653606,1.8372064308653606
level,-1.6568149175442026,1.6568149175442026
neutral_count,1.4222464099784118,1.4222464099784118
total_markers,-1.3196447511366587,1.3196447511366587
uncertainty_marker_count,-1.1671372273206224,1.1671372273206224
total_calls,0.8193273927051902,0.8193273927051902
most_used_tool_count,-0.6353221054494577,0.6353221054494577
assistant_steps_count,-0.4517764881496786,0.4517764881496786
successful_calls,0.31724926073792586,0.31724926073792586
step_count,0.1494466302835622,0.1494466302835622
