HSNS1	HSNS2	HSNS3	HSNS4	HSNS5	HSNS6	HSNS7	HSNS8	HSNS9	HSNS10	DDP1	DDP2	DDP3	DDP4	DDN1	DDN2	DDN3	DDN4	DDM1	DDM2	DDM3	DDM4	age	gender	accuracy	country
4	2	3	2	2	3	2	3	4	2	2	2	1	2	3	2	4	1	3	4	2	1	22	1	86	US
4	2	4	3	4	5	4	4	3	3	4	5	5	4	5	3	4	2	5	5	4	4	16	1	59	GB
5	2	5	3	5	5	2	4	5	2	5	2	5	5	4	2	4	2	5	5	4	5	20	1	88	US
3	4	4	1	3	4	3	2	3	2	1	5	2	5	5	5	0	4	5	2	4	3	27	2	71	CA
4	1	2	4	4	4	2	2	4	1	4	3	1	3	1	1	1	2	5	1	2	2	23	1	84	US
1	1	4	1	2	3	4	1	2	1	5	3	5	5	5	1	2	4	5	5	5	4	46	1	67	US
3	2	5	1	4	4	3	4	4	3	1	1	2	3	3	4	5	3	4	4	1	1	21	1	97	GB
3	1	5	3	4	3	5	5	5	3	3	4	1	5	1	1	1	2	5	4	5	4	25	1	46	US
1	3	5	1	4	4	2	4	2	3	3	2	4	5	5	4	5	5	4	4	4	4	23	1	97	US
4	4	3	5	4	5	5	5	4	2	1	2	3	3	5	4	3	4	3	4	2	2	13	1	63	US
3	5	4	1	4	5	4	5	4	4	4	4	3	4	5	4	3	3	2	5	2	5	15	1	75	CA
5	4	5	2	4	5	5	4	4	5	2	0	3	4	5	5	5	1	4	4	4	2	28	1	74	US
5	5	5	3	3	4	4	5	4	4	4	3	4	2	4	2	0	2	2	4	2	4	25	1	92	CA
4	3	2	1	2	4	3	1	3	2	2	4	2	5	3	4	2	4	5	5	3	2	36	2	90	CA
3	4	5	4	2	4	1	3	4	1	4	2	3	5	4	3	2	3	3	4	4	2	19	1	82	US
5	1	5	2	2	4	4	2	2	2	1	1	3	1	3	4	3	1	1	1	2	1	47	2	65	GB
5	5	5	5	4	4	5	5	5	4	5	5	4	4	4	3	4	2	5	5	2	2	30	2	52	US
5	5	4	4	4	5	5	5	5	4	4	2	2	4	4	4	4	5	3	5	3	3	32	1	76	US
5	3	3	3	2	5	1	5	3	1	4	2	4	5	2	2	2	2	4	5	5	4	23	2	86	IN
4	5	5	4	5	5	5	5	5	5	4	3	4	4	4	3	4	4	3	4	3	2	20	1	85	US
5	5	5	4	3	5	5	4	5	3	4	2	3	1	5	5	5	5	4	4	4	4	19	1	74	US
2	3	1	2	2	3	4	4	4	2	2	2	3	2	2	3	4	2	4	5	3	2	18	1	51	US
3	3	4	2	2	0	2	4	5	2	4	1	4	5	3	2	2	2	1	3	3	0	22	1	86	US
1	1	4	1	2	4	3	1	4	2	1	0	1	3	4	5	4	3	4	4	1	3	20	2	89	US
5	5	4	5	5	5	5	5	4	5	2	1	2	3	5	5	3	3	2	2	1	1	13	1	64	GB
5	5	5	3	5	5	5	4	5	5	2	3	4	5	5	5	5	5	4	2	4	2	25	2	97	US
4	4	5	4	4	4	3	5	5	5	5	4	5	5	5	1	3	3	5	5	5	5	33	2	84	GB
3	4	2	5	3	4	4	2	4	1	1	1	2	4	3	3	3	1	4	4	1	2	28	1	97	US
4	4	4	3	4	4	4	4	4	4	5	4	5	5	4	3	4	3	5	5	5	4	13	2	88	CA
3	2	4	4	3	4	3	4	2	1	1	2	2	4	0	4	2	1	4	4	1	1	19	1	78	US
4	4	5	2	5	4	4	3	5	4	4	1	4	1	5	4	5	5	2	1	2	1	19	2	78	US
4	3	4	5	3	4	4	4	4	2	2	2	4	4	3	4	2	4	4	4	4	2	17	1	82	US
4	2	5	5	5	3	3	1	3	2	1	5	4	5	4	2	4	2	1	4	4	4	21	2	65	CA
5	5	5	3	4	4	5	4	4	4	3	3	2	4	2	2	2	1	3	5	3	2	21	2	77	US
5	4	1	2	1	2	3	4	5	2	1	1	1	4	4	1	3	2	1	3	4	1	16	1	95	GB
