Environment,Model,Test ROC-AUC,Test F1,Test Accuracy,Test Precision,Test Recall,CV Mean
md,LogReg,0.9888337468982631,0.8,0.9333333333333333,0.8333333333333334,0.7692307692307693,0.9834627087198514
md,RF,0.9975186104218363,0.9166666666666666,0.9733333333333334,1.0,0.8461538461538461,0.9972289424860854
md,XGB,0.9950372208436725,0.9166666666666666,0.9733333333333334,1.0,0.8461538461538461,0.9959962894248608
retrosynthesis,LogReg,0.945906432748538,0.8888888888888888,0.8392857142857143,0.8372093023255814,0.9473684210526315,0.9405355862775217
retrosynthesis,RF,0.966374269005848,0.9210526315789473,0.8928571428571429,0.9210526315789473,0.9210526315789473,0.9805529953917052
retrosynthesis,XGB,0.9546783625730995,0.8947368421052632,0.8571428571428571,0.8947368421052632,0.8947368421052632,0.9883000512032771
afm,LogReg,1.0,1.0,1.0,1.0,1.0,0.9584199134199135
afm,RF,0.9821428571428572,0.6666666666666666,0.9117647058823529,1.0,0.5,0.9927272727272728
afm,XGB,1.0,0.6666666666666666,0.9117647058823529,1.0,0.5,0.9981818181818183
catalyst,LogReg,1.0,1.0,1.0,1.0,1.0,1.0
catalyst,RF,1.0,1.0,1.0,1.0,1.0,1.0
catalyst,XGB,1.0,1.0,1.0,1.0,1.0,1.0
ml,LogReg,0.8703703703703705,0.8333333333333334,0.75,0.8333333333333334,0.8333333333333334,0.7509523809523808
ml,RF,0.962962962962963,0.8888888888888888,0.8333333333333334,0.8888888888888888,0.8888888888888888,0.8842857142857143
ml,XGB,0.962962962962963,0.9411764705882353,0.9166666666666666,1.0,0.8888888888888888,0.8171428571428571
resistor,LogReg,0.9546279491833031,0.95,0.9583333333333334,0.9047619047619048,1.0,0.994855072463768
resistor,RF,0.9800362976406534,0.95,0.9583333333333334,0.9047619047619048,1.0,1.0
resistor,XGB,0.9891107078039927,0.95,0.9583333333333334,0.9047619047619048,1.0,0.9988888888888889
all,LogReg,0.9462180200222469,0.8734693877551021,0.8847583643122676,0.8842975206611571,0.8629032258064516,0.954765011433677
all,RF,0.9799221357063403,0.9322709163346613,0.9368029739776952,0.9212598425196851,0.9435483870967742,0.9902891099904594
all,XGB,0.9808120133481646,0.9558232931726908,0.9591078066914498,0.952,0.9596774193548387,0.9933575757575758
