participant_id	HSNS1	HSNS2	HSNS3	HSNS4	HSNS5	HSNS6	HSNS7	HSNS8	HSNS9	HSNS10	gender	behavior
T00000	5	5	5	5	5	5	5	5	3	3	1	0.04007887838418989
T00001	1	2	1	2	1	4	1	2	5	1	1	-1.199045807646169
T00002	4	3	3	3	2	4	4	3	2	3	2	2.393712304704172
T00003	5	4	4	4	4	4	3	5	4	1	2	0.6575655309163778
T00004	4	4	4	4	2	4	3	1	5	3	2	-0.4553383317213814
T00005	4	2	2	2	4	5	2	5	5	4	2	1.3652005232355808
T00006	4	5	4	4	4	2	5	5	5	4	2	1.683458959754479
T00007	4	2	2	3	2	4	4	2	1	4	1	-0.12984266827503022
T00008	5	5	5	5	5	5	4	4	5	2	2	1.2431741027998957
T00009	4	4	4	1	0	4	2	3	2	1	1	-1.2390363805509927
T00010	5	2	4	2	4	4	4	4	3	3	1	1.25647998677341
T00011	2	5	2	4	3	5	3	2	4	2	2	-0.533410884009924
T00012	5	3	5	4	5	5	4	4	5	4	1	-0.5150678544358781
T00013	4	4	4	3	1	5	4	4	4	2	1	-0.6947256081419191
T00014	5	5	5	4	4	5	4	4	5	5	2	0.9084835609699619
T00015	4	4	5	4	5	5	5	5	5	5	2	1.958152927242064
T00016	4	1	2	4	1	3	2	1	4	2	1	-0.3743442167670835
T00017	2	2	3	4	5	4	4	5	4	3	2	0.11159501221903345
T00018	4	5	4	3	0	5	5	4	4	5	2	1.4852122722076027
T00019	2	2	1	1	5	3	3	5	5	1	1	-0.36804513155618657
T00020	5	5	0	5	4	5	5	4	5	5	2	1.5905770374689874
T00021	4	2	4	2	4	4	2	2	2	1	1	-0.283193897208719
T00022	5	5	2	1	4	4	5	4	4	4	1	-0.557968666815932
T00023	3	4	1	3	4	5	4	3	2	4	2	0.08100909511783672
T00024	4	4	2	4	5	4	4	3	3	5	2	0.049592950994188034
T00025	5	4	0	2	2	4	0	1	3	3	2	0.7806669562593632
T00026	4	0	4	2	5	5	5	2	4	5	2	0.9031797908597993
T00027	4	4	1	1	1	4	2	2	1	2	1	-0.7075720258685786
T00028	5	5	5	4	5	5	5	5	4	5	2	0.9225144023568724
T00029	5	5	5	4	5	5	5	5	5	5	2	0.5172534079071573
T00030	4	3	3	4	2	4	4	4	2	3	2	-0.21700160656873346
T00031	4	2	5	2	2	4	2	4	2	1	1	-1.68189598379994
T00032	5	5	4	4	4	4	5	5	5	5	2	1.1047683681019673
T00033	3	2	1	4	3	4	5	2	4	4	1	-0.30401637602163106
T00034	5	4	4	3	3	4	5	4	5	3	2	0.8412015071203789
T00035	1	3	3	3	3	3	2	2	2	2	2	0.04375062350309902
T00036	4	3	3	3	2	5	3	4	4	4	1	0.5305771990188566
T00037	4	5	2	2	2	5	2	2	4	1	2	-0.11607069001101744
T00038	5	5	3	4	4	5	4	5	5	5	2	-0.32704665267243993
T00039	3	2	2	3	2	5	4	3	5	3	1	-0.06770344116325994
T00040	4	2	4	2	5	5	2	5	4	2	1	-1.6039022467561161
T00041	5	3	3	4	4	5	3	2	4	2	1	0.6243340711308519
T00042	5	5	5	4	4	5	5	5	5	2	2	2.4471827331835243
T00043	3	3	4	2	2	2	4	4	4	2	1	0.7256024820226942
T00044	5	0	4	3	5	5	5	2	4	1	1	-0.838789213489781
T00045	1	2	2	0	2	4	3	2	4	2	1	0.19405109174979063
T00046	4	5	5	5	5	4	4	4	5	4	1	0.11195640076213237
T00047	3	4	5	3	4	4	3	2	3	4	1	0.10521785504829817
T00048	5	2	5	5	4	2	4	2	5	4	1	-0.05363419589464055
T00049	5	4	4	0	4	5	4	5	4	3	2	0.9699513993436563
T00050	4	0	2	2	2	4	3	2	2	3	1	-0.8762193666382078
T00051	4	5	5	5	5	4	5	4	5	5	2	0.491907963327918
T00052	4	1	3	1	2	3	2	1	3	1	2	-0.19014577961811482
T00053	4	4	5	3	3	5	4	2	4	5	2	0.3667143734642239
T00054	4	2	4	4	2	4	4	2	2	2	2	0.8654744377845995
T00055	4	5	4	5	5	5	5	5	5	3	1	0.7912232169282968
T00056	3	1	3	2	5	4	2	4	3	2	1	-0.4910148778106935
T00057	4	1	5	2	3	4	2	4	4	3	1	-0.3502639262581172
T00058	4	2	3	4	4	4	2	4	2	1	1	-1.4064308628823845
T00059	3	5	5	4	5	5	5	5	4	2	2	1.115140108234543
T00060	4	1	4	2	4	5	3	4	2	4	1	0.28571299216873836
T00061	5	2	2	2	2	3	4	3	3	2	1	-0.46270674603617534
T00062	5	4	5	3	3	5	4	5	4	5	2	1.4499655937030198
T00063	5	4	2	4	3	4	3	4	5	2	1	0.10860136123512701
T00064	2	5	3	2	4	4	1	2	4	2	1	-1.1997720430486731
T00065	5	4	4	4	5	2	5	4	5	2	1	0.28033519524461
T00066	4	1	4	3	4	5	4	2	3	3	1	-1.5452959460247517
T00067	5	3	3	2	4	4	4	4	5	2	1	0.34448353633018447
T00068	5	5	4	3	5	0	3	5	5	5	2	-0.5213659656970202
T00069	3	1	1	2	3	0	4	1	2	1	1	-0.15729902518546357
T00070	4	2	4	2	4	5	4	4	2	4	1	-0.3641798353872597
T00071	4	2	4	3	3	5	4	3	4	1	2	0.45875301942108176
T00072	4	5	5	5	4	4	4	4	4	2	2	-0.24688875105473562
T00073	5	5	5	2	5	5	4	4	5	5	2	0.8343653753420132
T00074	4	2	5	5	4	5	5	3	5	4	2	0.5405944562285029
T00075	4	1	0	1	4	2	4	4	3	1	1	0.5093572082936852
T00076	5	4	4	4	3	5	4	5	4	5	2	0.31183822314257365
T00077	4	4	3	2	4	4	3	2	3	2	1	0.5994436126820673
T00078	4	4	2	4	4	4	4	3	5	2	1	-0.23954598056734022
T00079	4	4	4	1	4	4	4	3	4	2	1	0.6984773193434235
T00080	1	2	2	1	2	4	1	3	1	1	1	-1.7987426828630948
T00081	4	2	4	2	4	4	4	3	3	2	1	0.48200490760084846
T00082	5	5	4	4	4	5	4	5	5	4	2	0.6175442741094695
T00083	5	4	2	2	4	5	4	2	4	4	2	-0.08764017508338728
